id,identifier
1,stench
2,drizzle
3,speed-boost
4,battle-armor
5,sturdy
6,damp
7,limber
8,sand-veil
9,static
10,volt-absorb
11,water-absorb
12,oblivious
13,cloud-nine
14,compound-eyes
15,insomnia
16,color-change
17,immunity
18,flash-fire
19,shield-dust
20,own-tempo
21,suction-cups
22,intimidate
23,shadow-tag
24,rough-skin
25,wonder-guard
26,levitate
27,effect-spore
28,synchronize
29,clear-body
30,natural-cure
31,lightning-rod
32,serene-grace
33,swift-swim
34,chlorophyll
35,illuminate
36,trace
37,huge-power
38,poison-point
39,inner-focus
40,magma-armor
41,water-veil
42,magnet-pull
43,soundproof
44,rain-dish
45,sand-stream
46,pressure
47,thick-fat
48,early-bird
49,flame-body
50,run-away
51,keen-eye
52,hyper-cutter
53,pickup
54,truant
55,hustle
56,cute-charm
57,plus
58,minus
59,forecast
60,sticky-hold
61,shed-skin
62,guts
63,marvel-scale
64,liquid-ooze
65,overgrow
66,blaze
67,torrent
68,swarm
69,rock-head
70,drought
71,arena-trap
72,vital-spirit
73,white-smoke
74,pure-power
75,shell-armor
76,air-lock
77,tangled-feet
78,motor-drive
79,rivalry
80,steadfast
81,snow-cloak
82,gluttony
83,anger-point
84,unburden
85,heatproof
86,simple
87,dry-skin
88,download
89,iron-fist
90,poison-heal
91,adaptability
92,skill-link
93,hydration
94,solar-power
95,quick-feet
96,normalize
97,sniper
98,magic-guard
99,no-guard
100,stall
101,technician
102,leaf-guard
103,klutz
104,mold-breaker
105,super-luck
106,aftermath
107,anticipation
108,forewarn
109,unaware
110,tinted-lens
111,filter
112,slow-start
113,scrappy
114,storm-drain
115,ice-body
116,solid-rock
117,snow-warning
118,honey-gather
119,frisk
120,reckless
121,multitype
122,flower-gift
123,bad-dreams
124,pickpocket
125,sheer-force
126,contrary
127,unnerve
128,defiant
129,defeatist
130,cursed-body
131,healer
132,friend-guard
133,weak-armor
134,heavy-metal
135,light-metal
136,multiscale
137,toxic-boost
138,flare-boost
139,harvest
140,telepathy
141,moody
142,overcoat
143,poison-touch
144,regenerator
145,big-pecks
146,sand-rush
147,wonder-skin
148,analytic
149,illusion
150,imposter
151,infiltrator
152,mummy
153,moxie
154,justified
155,rattled
156,magic-bounce
157,sap-sipper
158,prankster
159,sand-force
160,iron-barbs
161,zen-mode
162,victory-star
163,turboblaze
164,teravolt
165,aroma-veil
166,flower-veil
167,cheek-pouch
168,protean
169,fur-coat
170,magician
171,bulletproof
172,competitive
173,strong-jaw
174,refrigerate
175,sweet-veil
176,stance-change
177,gale-wings
178,mega-launcher
179,grass-pelt
180,symbiosis
181,tough-claws
182,pixilate
183,gooey
184,aerilate
185,parental-bond
186,dark-aura
187,fairy-aura
188,aura-break
189,primordial-sea
190,desolate-land
191,delta-stream
192,stamina
193,wimp-out
194,emergency-exit
195,water-compaction
196,merciless
197,shields-down
198,stakeout
199,water-bubble
200,steelworker
201,berserk
202,slush-rush
203,long-reach
204,liquid-voice
205,triage
206,galvanize
207,surge-surfer
208,schooling
209,disguise
210,battle-bond
211,power-construct
212,corrosion
213,comatose
214,queenly-majesty
215,innards-out
216,dancer
217,battery
218,fluffy
219,dazzling
220,soul-heart
221,tangling-hair
222,receiver
223,power-of-alchemy
224,beast-boost
225,rks-system
226,electric-surge
227,psychic-surge
228,misty-surge
229,grassy-surge
230,full-metal-body
231,shadow-shield
232,prism-armor
233,neuroforce
234,intrepid-sword
235,dauntless-shield
236,libero
237,ball-fetch
238,cotton-down
239,propeller-tail
240,mirror-armor
241,gulp-missile
242,stalwart
243,steam-engine
244,punk-rock
245,sand-spit
246,ice-scales
247,ripen
248,ice-face
249,power-spot
250,mimicry
251,screen-cleaner
252,steely-spirit
253,perish-body
254,wandering-spirit
255,gorilla-tactics
256,neutralizing-gas
257,pastel-veil
258,hunger-switch
259,quick-draw
260,unseen-fist
261,curious-medicine
262,transistor
263,dragons-maw
264,chilling-neigh
265,grim-neigh
266,as-one-ice-rider
267,as-one-shadow-rider
268,lingering-aroma
269,seed-sower
270,thermal-exchange
271,anger-shell
272,purifying-salt
273,well-baked-body
274,wind-rider
275,guard-dog
276,rocky-payload
277,wind-power
278,zero-to-hero
279,commander
280,electromorphosis
281,protosynthesis
282,quark-drive
283,good-as-gold
284,vessel-of-ruin
285,sword-of-ruin
286,tablets-of-ruin
287,beads-of-ruin
288,orichalcum-pulse
289,hadron-engine
290,opportunist
291,cud-chew
292,sharpness
293,supreme-overlord
294,costar
295,toxic-debris
296,armor-tail
297,earth-eater
298,mycelium-might
299,hospitality
300,minds-eye
301,embody-aspect-teal-mask
302,embody-aspect-hearthflame-mask
303,embody-aspect-wellspring-mask
304,embody-aspect-cornerstone-mask
305,toxic-chain
306,supersweet-syrup
307,tera-shift
308,tera-shell
309,teraform-zero
310,poison-puppeteer
