generation_id,language_id,ability_id,description
4,1,1,やせいの　ポケモンが\nよりつき　にくくなる。
4,1,2,せんとうに　でると\nあめを　ふらす。
4,1,3,ちょっとずつ\nすばやく　なっていく。
4,1,4,あいての　こうげきが\nきゅうしょに　あたらない。
4,1,5,いちげきひっさつが\nきかない。
4,1,6,だれも　じばくが\nできなくなる。
4,1,7,まひ　じょうたいに\nならない。
4,1,8,すなあらしで\nかいひりつが　あがる。
4,1,9,さわった　あいてを\nまひさせる　ことがある。
4,1,10,でんきを　うけると\nかいふくする。
4,1,11,みずを　うけると\nかいふくする。
4,1,12,メロメロ　じょうたいに\nならない。
4,1,13,てんきの　えいきょうが\nなくなる。
4,1,14,わざの　めいちゅうりつが\nあがる。
4,1,15,ねむり　じょうたいに\nならない。
4,1,16,うけた　わざの　タイプに\nへんかする。
4,1,17,どく　じょうたいに\nならない。
4,1,18,ほのおを　うけると\nほのおわざが　つよくなる。
4,1,19,わざの　ついかこうかを\nうけない。
4,1,20,こんらん　じょうたいに\nならない。
4,1,21,いれかえさせる　わざが\nきかない。
4,1,22,あいての　こうげきを\nさげる。
4,1,23,あいての　かげをふみ\nにげられなくする。
4,1,24,ふれた　あいてを\nキズつける。
4,1,25,こうかばつぐん　しか\nあたらない。
4,1,26,じめんタイプの　わざを\nうけない。
4,1,27,ふれると　どく　まひ\nねむりに　することがある。
4,1,28,どく　まひ　やけどを\nあいてに　うつす。
4,1,29,あいてに　のうりょくを\nさげられない。
4,1,30,じょうたい　いじょうが\nひっこむと　なおる。
4,1,31,でんきタイプの　わざを\nすべて　うける。
4,1,32,わざの　ついかこうかが\nでやすい。
4,1,33,あめのとき　すばやさが\nあがる。
4,1,34,はれのとき　すばやさが\nあがる。
4,1,35,やせいの　ポケモンに\nそうぐう　しやすくなる。
4,1,36,あいてと　おなじ\nとくせいに　なる。
4,1,37,ぶつり　こうげきの\nいりょくが　あがる。
4,1,38,ふれた　あいてに　どくを\nおわせる　ことがある。
4,1,39,ひるまない。\n
4,1,40,こおり　じょうたいに\nならない。
4,1,41,やけど　じょうたいに\nならない。
