version_group_id,pokemon_id,base_experience
1,1,64
1,2,141
1,3,208
1,4,65
1,5,142
1,6,209
1,7,66
1,8,143
1,9,210
1,10,53
1,11,72
1,12,160
1,13,52
1,14,71
1,15,159
1,16,55
1,17,113
1,18,172
1,19,57
1,20,116
1,21,58
1,22,162
1,23,62
1,24,147
1,25,82
1,26,122
1,27,93
1,28,163
1,29,59
1,30,117
1,31,194
1,32,60
1,33,118
1,34,195
1,35,68
1,36,129
1,37,63
1,38,178
1,39,76
1,40,109
1,41,54
1,42,171
1,43,78
1,44,132
1,45,184
1,46,70
1,47,128
1,48,75
1,49,138
1,50,81
1,51,153
1,52,69
1,53,148
1,54,80
1,55,174
1,56,74
1,57,149
1,58,91
1,59,213
1,60,77
1,61,131
1,62,185
1,63,73
1,64,145
1,65,186
1,66,88
1,67,146
1,68,193
1,69,84
1,70,151
1,71,191
1,72,105
1,73,205
1,74,86
1,75,134
1,76,177
1,77,152
1,78,192
1,79,99
1,80,164
1,81,89
1,82,161
1,83,94
1,84,96
1,85,158
1,86,100
1,87,176
1,88,90
1,89,157
1,90,97
1,91,203
1,92,95
1,93,126
1,94,190
1,95,108
1,96,102
1,97,165
1,98,115
1,99,206
1,100,103
1,101,150
1,102,98
1,103,212
1,104,87
1,105,124
1,106,139
1,107,140
1,108,127
1,109,114
1,110,173
1,111,135
1,112,204
1,113,255
1,114,166
1,115,175
1,116,83
1,117,155
1,118,111
1,119,170
1,120,106
1,121,207
1,122,136
1,123,187
1,124,137
1,125,156
1,126,167
1,127,200
1,128,211
1,129,20
1,130,214
1,131,219
1,132,61
1,133,92
1,134,196
1,135,197
1,136,198
1,137,130
1,138,120
1,139,199
1,140,119
1,141,201
1,142,202
1,143,154
1,144,215
1,145,216
1,146,217
1,147,67
1,148,144
1,149,218
1,150,220
1,151,64
2,1,64
2,2,141
2,3,208
2,4,65
2,5,142
2,6,209
2,7,66
2,8,143
2,9,210
2,10,53
2,11,72
2,12,160
2,13,52
2,14,71
2,15,159
2,16,55
2,17,113
2,18,172
2,19,57
2,20,116
2,21,58
2,22,162
2,23,62
2,24,147
2,25,82
2,26,122
2,27,93
2,28,163
2,29,59
2,30,117
2,31,194
2,32,60
2,33,118
2,34,195
2,35,68
2,36,129
2,37,63
2,38,178
2,39,76
2,40,109
2,41,54
2,42,171
2,43,78
2,44,132
2,45,184
2,46,70
2,47,128
2,48,75
2,49,138
2,50,81
2,51,153
2,52,69
2,53,148
2,54,80
2,55,174
2,56,74
2,57,149
2,58,91
2,59,213
2,60,77
2,61,131
2,62,185
2,63,73
2,64,145
2,65,186
2,66,88
2,67,146
2,68,193
2,69,84
2,70,151
2,71,191
2,72,105
2,73,205
2,74,86
2,75,134
2,76,177
2,77,152
2,78,192
2,79,99
2,80,164
2,81,89
2,82,161
2,83,94
2,84,96
2,85,158
2,86,100
2,87,176
2,88,90
2,89,157
2,90,97
2,91,203
2,92,95
2,93,126
2,94,190
2,95,108
2,96,102
2,97,165
2,98,115
2,99,206
2,100,103
2,101,150
2,102,98
2,103,212
2,104,87
2,105,124
2,106,139
2,107,140
2,108,127
2,109,114
2,110,173
2,111,135
2,112,204
2,113,255
2,114,166
2,115,175
2,116,83
2,117,155
2,118,111
2,119,170
2,120,106
2,121,207
2,122,136
2,123,187
2,124,137
2,125,156
2,126,167
2,127,200
2,128,211
2,129,20
2,130,214
2,131,219
2,132,61
2,133,92
2,134,196
2,135,197
2,136,198
2,137,130
2,138,120
2,139,199
2,140,119
2,141,201
2,142,202
2,143,154
2,144,215
2,145,216
2,146,217
2,147,67
2,148,144
2,149,218
2,150,220
2,151,64
3,1,64
3,2,141
3,3,208
3,4,65
3,5,142
3,6,209
3,7,66
3,8,143
3,9,210
3,10,53
3,11,72
3,12,160
3,13,52
3,14,71
3,15,159
3,16,55
3,17,113
3,18,172
3,19,57
3,20,116
3,21,58
3,22,162
3,23,62
3,24,147
3,25,82
3,26,122
3,27,93
3,28,163
3,29,59
3,30,117
3,31,194
3,32,60
3,33,118
3,34,195
3,35,68
3,36,129
3,37,63
3,38,178
3,39,76
3,40,109
3,41,54
3,42,171
3,43,78
3,44,132
3,45,184
3,46,70
3,47,128
3,48,75
3,49,138
3,50,81
3,51,153
3,52,69
3,53,148
3,54,80
3,55,174
3,56,74
3,57,149
3,58,91
3,59,213
3,60,77
3,61,131
3,62,185
3,63,73
3,64,145
3,65,186
3,66,88
3,67,146
3,68,193
3,69,84
3,70,151
3,71,191
3,72,105
3,73,205
3,74,86
3,75,134
3,76,177
3,77,152
3,78,192
3,79,99
3,80,164
3,81,89
3,82,161
3,83,94
3,84,96
3,85,158
3,86,100
3,87,176
3,88,90
3,89,157
3,90,97
3,91,203
3,92,95
3,93,126
3,94,190
3,95,108
3,96,102
3,97,165
3,98,115
3,99,206
3,100,103
3,101,150
3,102,98
3,103,212
3,104,87
3,105,124
3,106,139
3,107,140
3,108,127
3,109,114
3,110,173
3,111,135
3,112,204
3,113,255
3,114,166
3,115,175
3,116,83
3,117,155
3,118,111
3,119,170
3,120,106
3,121,207
3,122,136
3,123,187
3,124,137
3,125,156
3,126,167
3,127,200
3,128,211
3,129,20
3,130,214
3,131,219
3,132,61
3,133,92
3,134,196
3,135,197
3,136,198
3,137,130
3,138,120
3,139,199
3,140,119
3,141,201
3,142,202
3,143,154
3,144,215
3,145,216
3,146,217
3,147,67
3,148,144
3,149,218
3,150,220
3,151,64
4,1,64
4,2,141
4,3,208
4,4,65
4,5,142
4,6,209
4,7,66
4,8,143
4,9,210
4,10,53
4,11,72
4,12,160
4,13,52
4,14,71
4,15,159
4,16,55
4,17,113
4,18,172
4,19,57
4,20,116
4,21,58
4,22,162
4,23,62
4,24,147
4,25,82
4,26,122
4,27,93
4,28,163
4,29,59
4,30,117
4,31,194
4,32,60
4,33,118
4,34,195
4,35,68
4,36,129
4,37,63
4,38,178
4,39,76
4,40,109
4,41,54
4,42,171
4,43,78
4,44,132
4,45,184
4,46,70
4,47,128
4,48,75
4,49,138
4,50,81
4,51,153
