id,identifier,highest_stat_id,iv_mod_five
1,loves-to-eat,1,0
2,takes-plenty-of-siestas,1,1
3,nods-off-a-lot,1,2
4,scatters-things-often,1,3
5,likes-to-relax,1,4
6,proud-of-its-power,2,0
7,likes-to-thrash-about,2,1
8,a-little-quick-tempered,2,2
9,likes-to-fight,2,3
10,quick-tempered,2,4
11,sturdy-body,3,0
12,capable-of-taking-hits,3,1
13,highly-persistent,3,2
14,good-endurance,3,3
15,good-perseverance,3,4
16,likes-to-run,4,0
17,alert-to-sounds,4,1
18,impetuous-and-silly,4,2
19,somewhat-of-a-clown,4,3
20,quick-to-flee,4,4
21,highly-curious,8,0
22,mischievous,8,1
23,thoroughly-cunning,8,2
24,often-lost-in-thought,8,3
25,very-finicky,8,4
26,strong-willed,9,0
27,somewhat-vain,9,1
28,strongly-defiant,9,2
29,hates-to-lose,9,3
30,somewhat-stubborn,9,4
