language_id,condition_id,name
1,1,かっこよさ
1,2,うつくしさ
1,3,かわいさ
1,4,かしこさ
1,5,たくましさ
2,1,Coolness
2,2,Beauty
2,3,Cuteness
2,4,Cleverness
2,5,Toughness
3,1,Sang-froid
3,2,Beauté
3,3,Grâce
3,4,Intelligence
3,5,Robustesse
4,1,Coolness
4,2,Schönheit
4,3,Putzigkeit
4,4,Klugheit
4,5,Stärke
5,1,Classe
5,2,Bellezza
5,3,Grazia
5,4,Acume
5,5,Grinta
6,1,Carisma
6,2,Belleza
6,3,Dulzura
6,4,Ingenio
6,5,Dureza
7,1,근사함
7,2,아름다움
7,3,귀여움
7,4,슬기로움
7,5,강인함
8,1,かっこよさ
8,2,うつくしさ
8,3,かわいさ
8,4,かしこさ
8,5,たくましさ
9,1,帅气
9,2,美丽
9,3,可爱
9,4,聪明
9,5,强壮
10,1,帥氣
10,2,美麗
10,3,可愛
10,4,聰明
10,5,強壯
