version_group_id,evo_from_id,evo_method_id,evo_into_id,level,item_id,move_id,pokemon_id,type_id,version_id,other_parameter
3,1,4,2,16,\N,\N,\N,\N,\N,0
3,2,4,3,32,\N,\N,\N,\N,\N,0
3,4,4,5,16,\N,\N,\N,\N,\N,0
3,5,4,6,36,\N,\N,\N,\N,\N,0
3,7,4,8,16,\N,\N,\N,\N,\N,0
3,8,4,9,36,\N,\N,\N,\N,\N,0
3,10,4,11,7,\N,\N,\N,\N,\N,0
3,11,4,12,10,\N,\N,\N,\N,\N,0
3,13,4,14,7,\N,\N,\N,\N,\N,0
3,14,4,15,10,\N,\N,\N,\N,\N,0
3,16,4,17,18,\N,\N,\N,\N,\N,0
3,17,4,18,36,\N,\N,\N,\N,\N,0
3,19,4,20,20,\N,\N,\N,\N,\N,0
3,21,4,22,20,\N,\N,\N,\N,\N,0
3,23,4,24,22,\N,\N,\N,\N,\N,0
3,25,8,26,0,83,\N,\N,\N,\N,0
3,27,4,28,22,\N,\N,\N,\N,\N,0
3,29,4,30,16,\N,\N,\N,\N,\N,0
3,30,8,31,0,81,\N,\N,\N,\N,0
3,32,4,33,16,\N,\N,\N,\N,\N,0
3,33,8,34,0,81,\N,\N,\N,\N,0
3,35,8,36,0,81,\N,\N,\N,\N,0
3,37,8,38,0,82,\N,\N,\N,\N,0
3,39,8,40,0,81,\N,\N,\N,\N,0
3,41,4,42,22,\N,\N,\N,\N,\N,0
3,43,4,44,21,\N,\N,\N,\N,\N,0
3,44,8,45,0,85,\N,\N,\N,\N,0
3,46,4,47,24,\N,\N,\N,\N,\N,0
3,48,4,49,31,\N,\N,\N,\N,\N,0
3,50,4,51,26,\N,\N,\N,\N,\N,0
3,52,4,53,28,\N,\N,\N,\N,\N,0
3,54,4,55,33,\N,\N,\N,\N,\N,0
3,56,4,57,28,\N,\N,\N,\N,\N,0
3,58,8,59,0,82,\N,\N,\N,\N,0
3,60,4,61,25,\N,\N,\N,\N,\N,0
3,61,8,62,0,84,\N,\N,\N,\N,0
3,63,4,64,16,\N,\N,\N,\N,\N,0
3,64,5,65,0,\N,\N,\N,\N,\N,0
3,66,4,67,28,\N,\N,\N,\N,\N,0
3,67,5,68,0,\N,\N,\N,\N,\N,0
3,69,4,70,21,\N,\N,\N,\N,\N,0
3,70,8,71,0,85,\N,\N,\N,\N,0
3,72,4,73,30,\N,\N,\N,\N,\N,0
3,74,4,75,25,\N,\N,\N,\N,\N,0
3,75,5,76,0,\N,\N,\N,\N,\N,0
3,77,4,78,40,\N,\N,\N,\N,\N,0
3,79,4,80,37,\N,\N,\N,\N,\N,0
3,81,4,82,30,\N,\N,\N,\N,\N,0
3,84,4,85,31,\N,\N,\N,\N,\N,0
3,86,4,87,34,\N,\N,\N,\N,\N,0
3,88,4,89,38,\N,\N,\N,\N,\N,0
3,90,8,91,0,84,\N,\N,\N,\N,0
3,92,4,93,25,\N,\N,\N,\N,\N,0
3,93,5,94,0,\N,\N,\N,\N,\N,0
3,96,4,97,26,\N,\N,\N,\N,\N,0
3,98,4,99,28,\N,\N,\N,\N,\N,0
3,100,4,101,30,\N,\N,\N,\N,\N,0
3,102,8,103,0,85,\N,\N,\N,\N,0
3,104,4,105,28,\N,\N,\N,\N,\N,0
3,109,4,110,35,\N,\N,\N,\N,\N,0
3,111,4,112,42,\N,\N,\N,\N,\N,0
3,116,4,117,32,\N,\N,\N,\N,\N,0
3,118,4,119,33,\N,\N,\N,\N,\N,0
3,120,8,121,0,84,\N,\N,\N,\N,0
3,129,4,130,20,\N,\N,\N,\N,\N,0
3,133,8,134,0,84,\N,\N,\N,\N,0
3,133,8,135,0,83,\N,\N,\N,\N,0
3,133,8,136,0,82,\N,\N,\N,\N,0
3,138,4,139,40,\N,\N,\N,\N,\N,0
3,140,4,141,40,\N,\N,\N,\N,\N,0
3,147,4,148,30,\N,\N,\N,\N,\N,0
3,148,4,149,55,\N,\N,\N,\N,\N,0
4,1,4,2,16,\N,\N,\N,\N,\N,0
4,2,4,3,32,\N,\N,\N,\N,\N,0
4,4,4,5,16,\N,\N,\N,\N,\N,0
4,5,4,6,36,\N,\N,\N,\N,\N,0
4,7,4,8,16,\N,\N,\N,\N,\N,0
4,8,4,9,36,\N,\N,\N,\N,\N,0
4,10,4,11,7,\N,\N,\N,\N,\N,0
4,11,4,12,10,\N,\N,\N,\N,\N,0
4,13,4,14,7,\N,\N,\N,\N,\N,0
4,14,4,15,10,\N,\N,\N,\N,\N,0
4,16,4,17,18,\N,\N,\N,\N,\N,0
4,17,4,18,36,\N,\N,\N,\N,\N,0
4,19,4,20,20,\N,\N,\N,\N,\N,0
4,21,4,22,20,\N,\N,\N,\N,\N,0
4,23,4,24,22,\N,\N,\N,\N,\N,0
4,25,8,26,0,83,\N,\N,\N,\N,0
4,27,4,28,22,\N,\N,\N,\N,\N,0
4,29,4,30,16,\N,\N,\N,\N,\N,0
4,30,8,31,0,81,\N,\N,\N,\N,0
4,32,4,33,16,\N,\N,\N,\N,\N,0
4,33,8,34,0,81,\N,\N,\N,\N,0
4,35,8,36,0,81,\N,\N,\N,\N,0
4,37,8,38,0,82,\N,\N,\N,\N,0
4,39,8,40,0,81,\N,\N,\N,\N,0
4,41,4,42,22,\N,\N,\N,\N,\N,0
4,43,4,44,21,\N,\N,\N,\N,\N,0
4,44,8,45,0,85,\N,\N,\N,\N,0
4,46,4,47,24,\N,\N,\N,\N,\N,0
4,48,4,49,31,\N,\N,\N,\N,\N,0
4,50,4,51,26,\N,\N,\N,\N,\N,0
