id,identifier,introduced_in_generation_id
1,kings-rock,2
2,accuracy-check,2
3,makes-contact,3
4,protect,3
5,reflectable,3
6,snatch,3
7,mirror-move,3
8,charge,5
9,recharge,5
10,punch,5
11,sound,5
12,gravity,5
13,defrost,5
14,distance-triple,5
15,heal,5
16,ignore-substitute,5
17,fail-sky-battle,6
18,animate-ally,6
19,dance,7
20,metronome,7
21,cure-drowsy,8
22,cure-frostbite,8
23,fail-encore,9
24,fail-me-first,9
25,future-attack,9
26,pressure,9
27,combo,9
28,no-sleep-talk,9
29,no-assist,9
30,fail-copycat,9
31,fail-mimic,9
32,fail-instruct,9
33,powder,9
34,bite,9
35,bullet,9
36,no-multi-hit,9
37,no-effectiveness,9
38,sheer-force,9
39,slicing,9
40,wind,9
41,unknown-56,9
42,unknown-57,9
43,unknown-58,9
44,unknown-59,9
45,unknown-60,9
46,cant-use-twice,9
47,no-sketch,9
