generation_id,language_id,item_id,description
4,1,1,？？？
4,1,2,やせいの　ポケモンを　かならず\nつかまえることが　できる\nさいこう　せいのうの　ボール。
4,1,3,スーパーボールよりも　さらに\nポケモンを　つかまえやすくなった\nすごく　せいのうのいい　ボール。
4,1,4,モンスターボールよりも　さらに\nポケモンを　つかまえやすくなった\nすこし　せいのうのいい　ボール。
4,1,5,やせいの　ポケモンに　なげて\nつかまえる　ための　ボール。\nカプセルしきに　なっている。
4,1,7,ランニングシューズ　よりも\nはやく　はしることが　できる\nおりたたみしきの　じてんしゃ。
4,1,8,だいしつげんの　なか　だけで\nつかう　とくべつな　ボール。\nめいさいがらに　なっている。
4,1,9,ある　とくていの　ポケモンを\nしんかさせる　ふしぎな　いし。\nよぞらのように　くろい。
4,1,10,スプレーしきの　くすり。\nポケモン　１ひきの　どくの\nじょうたいを　かいふくする。
4,1,11,スプレーしきの　くすり。\nポケモン　１ひきの　やけどの\nじょうたいを　かいふくする。
4,1,12,スプレーしきの　くすり。\nポケモン　１ひきの　こおりの\nじょうたいを　かいふくする。
4,1,13,スプレーしきの　くすり。\nポケモン　１ひきの　ねむりの\nじょうたいを　かいふくする。
4,1,14,スプレーしきの　くすり。\nポケモン　１ひきの　まひの\nじょうたいを　かいふくする。
4,1,15,ポケモン　１ひきの　ＨＰと\nじょうたい　いじょうを　すべて\nかいふくする。
4,1,16,スプレーしきの　キズぐすり。\nポケモン　１ひきの　ＨＰを\nすべて　かいふくする。
4,1,17,スプレーしきの　キズぐすり。\nポケモン　１ひきの　ＨＰを\n２００だけ　かいふくする。
4,1,18,スプレーしきの　キズぐすり。\nポケモン　１ひきの　ＨＰを\n５０だけ　かいふくする。
4,1,19,スプレーしきの　キズぐすり。\nポケモン　１ひきの　ＨＰを\n２０だけ　かいふくする。
4,1,20,ながくて　じょうぶな　ヒモ。\nどうくつや　ダンジョンから\nぬけだすことが　できる。
4,1,21,１００ぽ　すすむ　あいだ\nよわい　やせいの　ポケモンが\nまったく　でて　こなくなる。
4,1,22,こだい　ポケモンの　いでんしが\nとじこめられている　コハク。\nあかみを　おびて　すけている。
4,1,23,ある　とくていの　ポケモンを\nしんかさせる　ふしぎな　いし。\nだいだいいろを　している。
4,1,24,ある　とくていの　ポケモンを\nしんかさせる　ふしぎな　いし。\nいなずまの　もようが　ある。
4,1,25,ある　とくていの　ポケモンを\nしんかさせる　ふしぎな　いし。\nすんだ　みずいろを　している。
4,1,26,ポケモンの　えいようドリンク。\nポケモン　１ひきの　ＨＰの\nきそポイントを　あげる。
4,1,27,ポケモンの　えいようドリンク。\nポケモン　１ひきの　こうげきの\nきそポイントを　あげる。
4,1,28,ポケモンの　えいようドリンク。\nポケモン　１ひきの　ぼうぎょの\nきそポイントを　あげる。
4,1,29,ポケモンの　えいようドリンク。\nポケモン　１ひきの　すばやさの\nきそポイントを　あげる。
4,1,30,ポケモンの　えいようドリンク。\nポケモン　１ひきの　とくこうの\nきそポイントを　あげる。
4,1,31,エネルギーの　つまった　アメ。\nあたえると　ポケモン　１ひきの\nレベルが　１だけ　あがる。
4,1,32,おおむかし　うみに　すんでいた\nこだい　ポケモンの　カセキ。\nこうらの　いちぶ　らしい。
4,1,33,おおむかし　うみに　すんでいた\nこだい　ポケモンの　カセキ。\nかいがらの　いちぶ　らしい。
4,1,34,きまった　ばしょで　つかうことで\nとくしゅな　でんきしんごうを　だして\nとびらを　あける　ハイテクな　カギ。
4,1,36,せんとうちゅうの　ポケモンの\nめいちゅうを　あげる　どうぐ。\nひっこめると　もとに　もどる。
4,1,37,ある　とくていの　ポケモンを\nしんかさせる　ふしぎな　いし。\nはっぱの　もようが　ある。
4,1,39,キラキラと　きんいろに　ひかる\nじゅんきん　せいの　たま。\nショップで　たかく　うれる。
4,1,40,ポケモンの　きを　ひかせる　どうぐ。\nやせいポケモンとの　せんとうから\nぜったいに　にげられる。
4,1,41,スプレーしきの　くすり。\nポケモン　１ひきの　じょうたいの\nいじょうを　すべて　かいふくする。
4,1,42,ひんしに　なってしまった\nポケモン　１ひきの　ＨＰを\nはんぶんまで　かいふくする。
