form_id,is_shiny,is_back,is_female,attacking_index,image
1,0,0,0,0,xy/bulbasaur.gif
1,0,0,0,1,xy/attacking/bulbasaur-2.gif
1,0,0,0,2,xy/attacking/bulbasaur-3.gif
1,0,1,0,0,xy/back/bulbasaur.gif
1,1,0,0,0,xy/shiny/bulbasaur.gif
1,1,1,0,0,xy/shiny/back/bulbasaur.gif
2,0,0,0,0,xy/ivysaur.gif
2,0,0,0,1,xy/attacking/ivysaur-2.gif
2,0,0,0,2,xy/attacking/ivysaur-3.gif
2,0,1,0,0,xy/back/ivysaur.gif
2,1,0,0,0,xy/shiny/ivysaur.gif
2,1,1,0,0,xy/shiny/back/ivysaur.gif
3,0,0,0,0,xy/venusaur-male.gif
3,0,0,1,0,xy/venusaur-female.gif
3,0,1,0,0,xy/back/venusaur-male.gif
3,0,1,1,0,xy/back/venusaur-female.gif
3,1,0,0,0,xy/shiny/venusaur-male.gif
3,1,0,1,0,xy/shiny/venusaur-female.gif
3,1,1,0,0,xy/shiny/back/venusaur-male.gif
3,1,1,1,0,xy/shiny/back/venusaur-female.gif
4,0,0,0,0,xy/charmander.gif
4,0,0,0,1,xy/attacking/charmander-2.gif
4,0,0,0,2,xy/attacking/charmander-3.gif
4,0,1,0,0,xy/back/charmander.gif
4,1,0,0,0,xy/shiny/charmander.gif
4,1,1,0,0,xy/shiny/back/charmander.gif
5,0,0,0,0,xy/charmeleon.gif
5,0,0,0,1,xy/attacking/charmeleon-2.gif
5,0,0,0,2,xy/attacking/charmeleon-3.gif
5,0,1,0,0,xy/back/charmeleon.gif
5,1,0,0,0,xy/shiny/charmeleon.gif
5,1,1,0,0,xy/shiny/back/charmeleon.gif
6,0,0,0,0,xy/charizard.gif
6,0,0,0,1,xy/attacking/charizard-2.gif
6,0,0,0,2,xy/attacking/charizard-3.gif
6,0,0,0,3,xy/attacking/charizard-4.gif
6,0,1,0,0,xy/back/charizard.gif
6,1,0,0,0,xy/shiny/charizard.gif
6,1,1,0,0,xy/shiny/back/charizard.gif
7,0,0,0,0,xy/squirtle.gif
7,0,0,0,1,xy/attacking/squirtle-2.gif
7,0,0,0,2,xy/attacking/squirtle-3.gif
7,0,1,0,0,xy/back/squirtle.gif
7,1,0,0,0,xy/shiny/squirtle.gif
7,1,1,0,0,xy/shiny/back/squirtle.gif
8,0,0,0,0,xy/wartortle.gif
8,0,0,0,1,xy/attacking/wartortle-2.gif
8,0,0,0,2,xy/attacking/wartortle-3.gif
8,0,1,0,0,xy/back/wartortle.gif
8,1,0,0,0,xy/shiny/wartortle.gif
8,1,1,0,0,xy/shiny/back/wartortle.gif
9,0,0,0,0,xy/blastoise.gif
9,0,0,0,1,xy/attacking/blastoise-2.gif
9,0,0,0,2,xy/attacking/blastoise-3.gif
9,0,0,0,3,xy/attacking/blastoise-4.gif
9,0,1,0,0,xy/back/blastoise.gif
9,1,0,0,0,xy/shiny/blastoise.gif
9,1,1,0,0,xy/shiny/back/blastoise.gif
10,0,0,0,0,xy/caterpie.gif
10,0,0,0,1,xy/attacking/caterpie-2.gif
10,0,1,0,0,xy/back/caterpie.gif
10,1,0,0,0,xy/shiny/caterpie.gif
10,1,1,0,0,xy/shiny/back/caterpie.gif
11,0,0,0,0,xy/metapod.gif
11,0,1,0,0,xy/back/metapod.gif
11,1,0,0,0,xy/shiny/metapod.gif
11,1,1,0,0,xy/shiny/back/metapod.gif
12,0,0,0,0,xy/butterfree-male.gif
12,0,0,1,0,xy/butterfree-female.gif
12,0,1,0,0,xy/back/butterfree-male.gif
12,0,1,1,0,xy/back/butterfree-female.gif
12,1,0,0,0,xy/shiny/butterfree-male.gif
12,1,0,1,0,xy/shiny/butterfree-female.gif
12,1,1,0,0,xy/shiny/back/butterfree-male.gif
12,1,1,1,0,xy/shiny/back/butterfree-female.gif
13,0,0,0,0,xy/weedle.gif
13,0,0,0,1,xy/attacking/weedle-2.gif
13,0,1,0,0,xy/back/weedle.gif
13,1,0,0,0,xy/shiny/weedle.gif
13,1,1,0,0,xy/shiny/back/weedle.gif
14,0,0,0,0,xy/kakuna.gif
14,0,0,0,1,xy/attacking/kakuna-2.gif
14,0,1,0,0,xy/back/kakuna.gif
14,1,0,0,0,xy/shiny/kakuna.gif
14,1,1,0,0,xy/shiny/back/kakuna.gif
15,0,0,0,0,xy/beedrill.gif
15,0,1,0,0,xy/back/beedrill.gif
15,1,0,0,0,xy/shiny/beedrill.gif
15,1,1,0,0,xy/shiny/back/beedrill.gif
16,0,0,0,0,xy/pidgey.gif
16,0,1,0,0,xy/back/pidgey.gif
16,1,0,0,0,xy/shiny/pidgey.gif
16,1,1,0,0,xy/shiny/back/pidgey.gif
17,0,0,0,0,xy/pidgeotto.gif
17,0,1,0,0,xy/back/pidgeotto.gif
17,1,0,0,0,xy/shiny/pidgeotto.gif
17,1,1,0,0,xy/shiny/back/pidgeotto.gif
18,0,0,0,0,xy/pidgeot.gif
18,0,0,0,1,xy/attacking/pidgeot-2.gif
18,0,0,0,2,xy/attacking/pidgeot-3.gif
18,0,1,0,0,xy/back/pidgeot.gif
18,1,0,0,0,xy/shiny/pidgeot.gif
18,1,1,0,0,xy/shiny/back/pidgeot.gif
19,0,0,0,0,xy/rattata-male.gif
19,0,0,1,0,xy/rattata-female.gif
19,0,1,0,0,xy/back/rattata-male.gif
19,0,1,1,0,xy/back/rattata-female.gif
19,1,0,0,0,xy/shiny/rattata-male.gif
19,1,0,1,0,xy/shiny/rattata-female.gif
19,1,1,0,0,xy/shiny/back/rattata-male.gif
19,1,1,1,0,xy/shiny/back/rattata-female.gif
20,0,0,0,0,xy/raticate-male.gif
20,0,0,1,0,xy/raticate-female.gif
20,0,1,0,0,xy/back/raticate-male.gif
20,0,1,1,0,xy/back/raticate-female.gif
20,1,0,0,0,xy/shiny/raticate-male.gif
20,1,0,1,0,xy/shiny/raticate-female.gif
