version_group_id,language_id,flag_id,name,description
5,2,1,Triggers King’s Rock,"This move can trigger the effects of <a class=""dex-link"" href=""/dex/gs/items/kings-rock"">King’s Rock</a>."
5,2,2,Accuracy check,This move uses the standard accuracy check.
6,2,1,Triggers King’s Rock,"This move can trigger the effects of <a class=""dex-link"" href=""/dex/c/items/kings-rock"">King’s Rock</a>."
6,2,2,Accuracy check,This move uses the standard accuracy check.
7,2,1,Triggers King’s Rock,"This move can trigger the effects of <a class=""dex-link"" href=""/dex/rs/items/kings-rock"">King’s Rock</a>."
7,2,3,Makes contact,This move causes the user to make contact with the target.
7,2,4,Blocked by Protect,"This move will be blocked if the target has used <a class=""dex-link"" href=""/dex/rs/moves/protect"">Protect</a> or <a class=""dex-link"" href=""/dex/rs/moves/detect"">Detect</a> this turn."
7,2,5,Reflectable,"This move can be reflected back at the user with <a class=""dex-link"" href=""/dex/rs/moves/magic-coat"">Magic Coat</a>."
7,2,6,Snatchable,"The effects of this move can be stolen by a Pokémon using <a class=""dex-link"" href=""/dex/rs/moves/snatch"">Snatch</a>."
7,2,7,Copied by Mirror Move,"This move can be copied by <a class=""dex-link"" href=""/dex/rs/moves/mirror-move"">Mirror Move</a>."
8,2,1,Triggers King’s Rock,"This move can trigger the effects of <a class=""dex-link"" href=""/dex/frlg/items/kings-rock"">King’s Rock</a>."
8,2,3,Makes contact,This move causes the user to make contact with the target.
8,2,4,Blocked by Protect,"This move will be blocked if the target has used <a class=""dex-link"" href=""/dex/frlg/moves/protect"">Protect</a> or <a class=""dex-link"" href=""/dex/frlg/moves/detect"">Detect</a> this turn."
8,2,5,Reflectable,"This move can be reflected back at the user with <a class=""dex-link"" href=""/dex/frlg/moves/magic-coat"">Magic Coat</a>."
8,2,6,Snatchable,"The effects of this move can be stolen by a Pokémon using <a class=""dex-link"" href=""/dex/frlg/moves/snatch"">Snatch</a>."
8,2,7,Copied by Mirror Move,"This move can be copied by <a class=""dex-link"" href=""/dex/frlg/moves/mirror-move"">Mirror Move</a>."
9,2,1,Triggers King’s Rock,"This move can trigger the effects of <a class=""dex-link"" href=""/dex/e/items/kings-rock"">King’s Rock</a>."
9,2,3,Makes contact,This move causes the user to make contact with the target.
9,2,4,Blocked by Protect,"This move will be blocked if the target has used <a class=""dex-link"" href=""/dex/e/moves/protect"">Protect</a> or <a class=""dex-link"" href=""/dex/e/moves/detect"">Detect</a> this turn."
9,2,5,Reflectable,"This move can be reflected back at the user with <a class=""dex-link"" href=""/dex/e/moves/magic-coat"">Magic Coat</a>."
9,2,6,Snatchable,"The effects of this move can be stolen by a Pokémon using <a class=""dex-link"" href=""/dex/e/moves/snatch"">Snatch</a>."
9,2,7,Copied by Mirror Move,"This move can be copied by <a class=""dex-link"" href=""/dex/e/moves/mirror-move"">Mirror Move</a>."
10,2,1,Triggers King’s Rock,"This move can trigger the effects of <a class=""dex-link"" href=""/dex/dp/items/kings-rock"">King’s Rock</a>."
10,2,3,Makes contact,This move causes the user to make contact with the target.
10,2,4,Blocked by Protect,"This move will be blocked if the target has used <a class=""dex-link"" href=""/dex/dp/moves/protect"">Protect</a> or <a class=""dex-link"" href=""/dex/dp/moves/detect"">Detect</a> this turn."
10,2,5,Reflectable,"This move can be reflected back at the user with <a class=""dex-link"" href=""/dex/dp/moves/magic-coat"">Magic Coat</a>."
10,2,6,Snatchable,"The effects of this move can be stolen by a Pokémon using <a class=""dex-link"" href=""/dex/dp/moves/snatch"">Snatch</a>."
10,2,7,Copied by Mirror Move,"This move can be copied by <a class=""dex-link"" href=""/dex/dp/moves/mirror-move"">Mirror Move</a>."
11,2,1,Triggers King’s Rock,"This move can trigger the effects of <a class=""dex-link"" href=""/dex/pt/items/kings-rock"">King’s Rock</a>."
11,2,3,Makes contact,This move causes the user to make contact with the target.
11,2,4,Blocked by Protect,"This move will be blocked if the target has used <a class=""dex-link"" href=""/dex/pt/moves/protect"">Protect</a> or <a class=""dex-link"" href=""/dex/pt/moves/detect"">Detect</a> this turn."
11,2,5,Reflectable,"This move can be reflected back at the user with <a class=""dex-link"" href=""/dex/pt/moves/magic-coat"">Magic Coat</a>."
11,2,6,Snatchable,"The effects of this move can be stolen by a Pokémon using <a class=""dex-link"" href=""/dex/pt/moves/snatch"">Snatch</a>."
11,2,7,Copied by Mirror Move,"This move can be copied by <a class=""dex-link"" href=""/dex/pt/moves/mirror-move"">Mirror Move</a>."
12,2,1,Triggers King’s Rock,"This move can trigger the effects of <a class=""dex-link"" href=""/dex/hgss/items/kings-rock"">King’s Rock</a>."
12,2,3,Makes contact,This move causes the user to make contact with the target.
12,2,4,Blocked by Protect,"This move will be blocked if the target has used <a class=""dex-link"" href=""/dex/hgss/moves/protect"">Protect</a> or <a class=""dex-link"" href=""/dex/hgss/moves/detect"">Detect</a> this turn."
12,2,5,Reflectable,"This move can be reflected back at the user with <a class=""dex-link"" href=""/dex/hgss/moves/magic-coat"">Magic Coat</a>."
12,2,6,Snatchable,"The effects of this move can be stolen by a Pokémon using <a class=""dex-link"" href=""/dex/hgss/moves/snatch"">Snatch</a>."
12,2,7,Copied by Mirror Move,"This move can be copied by <a class=""dex-link"" href=""/dex/hgss/moves/mirror-move"">Mirror Move</a>."
13,2,3,Makes contact,This move causes the user to make contact with the target.
13,2,4,Blocked by Protect,"This move will be blocked if the target has used <a class=""dex-link"" href=""/dex/bw/moves/protect"">Protect</a> or <a class=""dex-link"" href=""/dex/bw/moves/detect"">Detect</a> this turn."
13,2,5,Reflectable,"This move can be reflected back at the user with <a class=""dex-link"" href=""/dex/bw/moves/magic-coat"">Magic Coat</a> or <a class=""dex-link"" href=""/dex/bw/abilities/magic-bounce"">Magic Bounce</a>."
13,2,6,Snatchable,"The effects of this move can be stolen by a Pokémon using <a class=""dex-link"" href=""/dex/bw/moves/snatch"">Snatch</a>."
13,2,7,Copied by Mirror Move,"This move can be copied by <a class=""dex-link"" href=""/dex/bw/moves/mirror-move"">Mirror Move</a>."
13,2,8,Has a charging turn,"This move has a charging turn that can be skipped with a <a class=""dex-link"" href=""/dex/bw/items/power-herb"">Power Herb</a>."
13,2,9,Must recharge,"The turn after this move is used, the Pokémon's action is skipped so it can recharge."
13,2,10,Punch move,"This move receives a 20% power boost from <a class=""dex-link"" href=""/dex/bw/abilities/iron-fist"">Iron Fist</a>."
13,2,11,Sound-based move,"This move does not affect Pokémon with <a class=""dex-link"" href=""/dex/bw/abilities/soundproof"">Soundproof</a>"
13,2,12,Unusable during Gravity,"This move cannot be used while <a class=""dex-link"" href=""/dex/bw/moves/gravity"">Gravity</a> is in effect."
13,2,13,Defrosts when used,This move can be used while frozen to force the Pokémon to defrost.
13,2,14,Targets opposite side in triples,"In triple battles, this move can target Pokémon on the opposite side from the user."
13,2,15,Heals,"This move is blocked by <a class=""dex-link"" href=""/dex/bw/moves/heal-block"">Heal Block</a>."
13,2,16,Ignores Substitute,"This move ignores the target's <a class=""dex-link"" href=""/dex/bw/moves/substitute"">Substitute</a>."
14,2,3,Makes contact,This move causes the user to make contact with the target.
14,2,4,Blocked by Protect,"This move will be blocked if the target has used <a class=""dex-link"" href=""/dex/b2w2/moves/protect"">Protect</a> or <a class=""dex-link"" href=""/dex/b2w2/moves/detect"">Detect</a> this turn."
14,2,5,Reflectable,"This move can be reflected back at the user with <a class=""dex-link"" href=""/dex/b2w2/moves/magic-coat"">Magic Coat</a> or <a class=""dex-link"" href=""/dex/b2w2/abilities/magic-bounce"">Magic Bounce</a>."
14,2,6,Snatchable,"The effects of this move can be stolen by a Pokémon using <a class=""dex-link"" href=""/dex/b2w2/moves/snatch"">Snatch</a>."
