nature_id,stat_id,modifier
1,2,1
1,3,1
1,4,1
1,8,1
1,9,1
2,2,1.1
2,3,0.9
2,4,1
2,8,1
2,9,1
3,2,1.1
3,3,1
3,4,0.9
3,8,1
3,9,1
4,2,1.1
4,3,1
4,4,1
4,8,0.9
4,9,1
5,2,1.1
5,3,1
5,4,1
5,8,1
5,9,0.9
6,2,0.9
6,3,1.1
6,4,1
6,8,1
6,9,1
7,2,1
7,3,1
7,4,1
7,8,1
7,9,1
8,2,1
8,3,1.1
8,4,0.9
8,8,1
8,9,1
9,2,1
9,3,1.1
9,4,1
9,8,0.9
9,9,1
10,2,1
10,3,1.1
10,4,1
10,8,1
10,9,0.9
11,2,0.9
11,3,1
11,4,1.1
11,8,1
11,9,1
12,2,1
12,3,0.9
12,4,1.1
12,8,1
12,9,1
13,2,1
13,3,1
13,4,1
13,8,1
13,9,1
14,2,1
14,3,1
14,4,1.1
14,8,0.9
14,9,1
15,2,1
15,3,1
15,4,1.1
15,8,1
15,9,0.9
16,2,0.9
16,3,1
16,4,1
16,8,1.1
16,9,1
17,2,1
17,3,0.9
17,4,1
17,8,1.1
17,9,1
18,2,1
18,3,1
18,4,0.9
18,8,1.1
18,9,1
19,2,1
19,3,1
19,4,1
19,8,1
19,9,1
20,2,1
20,3,1
20,4,1
20,8,1.1
20,9,0.9
21,2,0.9
21,3,1
21,4,1
21,8,1
21,9,1.1
22,2,1
22,3,0.9
22,4,1
22,8,1
22,9,1.1
23,2,1
23,3,1
23,4,0.9
23,8,1
23,9,1.1
24,2,1
24,3,1
24,4,1
24,8,0.9
24,9,1.1
25,2,1
25,3,1
25,4,1
25,8,1
25,9,1
