version_group_id,pokemon_id,slot,ability_id,is_hidden_ability
7,1,1,65,0
7,2,1,65,0
7,3,1,65,0
7,4,1,66,0
7,5,1,66,0
7,6,1,66,0
7,7,1,67,0
7,8,1,67,0
7,9,1,67,0
7,10,1,19,0
7,11,1,61,0
7,12,1,14,0
7,13,1,19,0
7,14,1,61,0
7,15,1,68,0
7,16,1,51,0
7,17,1,51,0
7,18,1,51,0
7,19,1,50,0
7,19,2,62,0
7,20,1,50,0
7,20,2,62,0
7,21,1,51,0
7,22,1,51,0
7,23,1,22,0
7,23,2,61,0
7,24,1,22,0
7,24,2,61,0
7,25,1,9,0
7,26,1,9,0
7,27,1,8,0
7,28,1,8,0
7,29,1,38,0
7,30,1,38,0
7,31,1,38,0
7,32,1,38,0
7,33,1,38,0
7,34,1,38,0
7,35,1,56,0
7,36,1,56,0
7,37,1,18,0
7,38,1,18,0
7,39,1,56,0
7,40,1,56,0
7,41,1,39,0
7,42,1,39,0
7,43,1,34,0
7,44,1,34,0
7,45,1,34,0
7,46,1,27,0
7,47,1,27,0
7,48,1,14,0
7,49,1,19,0
7,50,1,8,0
7,50,2,71,0
7,51,1,8,0
7,51,2,71,0
7,52,1,53,0
7,53,1,7,0
7,54,1,6,0
7,54,2,13,0
7,55,1,6,0
7,55,2,13,0
7,56,1,72,0
7,57,1,72,0
7,58,1,22,0
7,58,2,18,0
7,59,1,22,0
7,59,2,18,0
7,60,1,11,0
7,60,2,6,0
7,61,1,11,0
7,61,2,6,0
7,62,1,11,0
7,62,2,6,0
7,63,1,28,0
7,63,2,39,0
7,64,1,28,0
7,64,2,39,0
7,65,1,28,0
7,65,2,39,0
7,66,1,62,0
7,67,1,62,0
7,68,1,62,0
7,69,1,34,0
7,70,1,34,0
7,71,1,34,0
7,72,1,29,0
7,72,2,64,0
7,73,1,29,0
7,73,2,64,0
7,74,1,69,0
7,74,2,5,0
7,75,1,69,0
7,75,2,5,0
7,76,1,69,0
7,76,2,5,0
7,77,1,50,0
7,77,2,18,0
7,78,1,50,0
7,78,2,18,0
7,79,1,12,0
7,79,2,20,0
7,80,1,12,0
7,80,2,20,0
7,81,1,42,0
7,81,2,5,0
7,82,1,42,0
7,82,2,5,0
7,83,1,51,0
7,83,2,39,0
7,84,1,50,0
7,84,2,48,0
7,85,1,50,0
7,85,2,48,0
7,86,1,47,0
7,87,1,47,0
7,88,1,1,0
7,88,2,60,0
7,89,1,1,0
7,89,2,60,0
7,90,1,75,0
7,91,1,75,0
7,92,1,26,0
7,93,1,26,0
7,94,1,26,0
7,95,1,69,0
7,95,2,5,0
7,96,1,15,0
7,97,1,15,0
7,98,1,52,0
7,98,2,75,0
7,99,1,52,0
7,99,2,75,0
7,100,1,43,0
7,100,2,9,0
7,101,1,43,0
7,101,2,9,0
7,102,1,34,0
7,103,1,34,0
7,104,1,69,0
7,104,2,31,0
7,105,1,69,0
7,105,2,31,0
7,106,1,7,0
7,107,1,51,0
7,108,1,20,0
7,108,2,12,0
7,109,1,26,0
7,110,1,26,0
7,111,1,31,0
7,111,2,69,0
7,112,1,31,0
7,112,2,69,0
7,113,1,30,0
7,113,2,32,0
7,114,1,34,0
7,115,1,48,0
7,116,1,33,0
7,117,1,38,0
7,118,1,33,0
7,118,2,41,0
7,119,1,33,0
7,119,2,41,0
7,120,1,35,0
7,120,2,30,0
7,121,1,35,0
7,121,2,30,0
7,122,1,43,0
7,123,1,68,0
7,124,1,12,0
7,125,1,9,0
7,126,1,49,0
7,127,1,52,0
7,128,1,22,0
7,129,1,33,0
7,130,1,22,0
7,131,1,11,0
7,131,2,75,0
7,132,1,7,0
7,133,1,50,0
7,134,1,11,0
7,135,1,10,0
7,136,1,18,0
7,137,1,36,0
7,138,1,33,0
7,138,2,75,0
7,139,1,33,0
7,139,2,75,0
7,140,1,33,0
7,140,2,4,0
7,141,1,33,0
7,141,2,4,0
7,142,1,69,0
7,142,2,46,0
7,143,1,17,0
7,143,2,47,0
7,144,1,46,0
7,145,1,46,0
7,146,1,46,0
7,147,1,61,0
7,148,1,61,0
7,149,1,39,0
7,150,1,46,0
7,151,1,28,0
7,152,1,65,0
7,153,1,65,0
7,154,1,65,0
7,155,1,66,0
7,156,1,66,0
7,157,1,66,0
7,158,1,67,0
7,159,1,67,0
7,160,1,67,0
7,161,1,50,0
7,161,2,51,0
7,162,1,50,0
7,162,2,51,0
7,163,1,15,0
7,163,2,51,0
7,164,1,15,0
7,164,2,51,0
7,165,1,68,0
7,165,2,48,0
7,166,1,68,0
7,166,2,48,0
7,167,1,68,0
7,167,2,15,0
7,168,1,68,0
7,168,2,15,0
7,169,1,39,0
7,170,1,10,0
7,170,2,35,0
7,171,1,10,0
7,171,2,35,0
7,172,1,9,0
7,173,1,56,0
7,174,1,56,0
7,175,1,55,0
7,175,2,32,0
7,176,1,55,0
7,176,2,32,0
7,177,1,28,0
7,177,2,48,0
7,178,1,28,0
7,178,2,48,0
7,179,1,9,0
7,180,1,9,0
7,181,1,9,0
7,182,1,34,0
7,183,1,47,0
7,183,2,37,0
7,184,1,47,0
7,184,2,37,0
7,185,1,5,0
7,185,2,69,0
7,186,1,11,0
7,186,2,6,0
7,187,1,34,0
7,188,1,34,0
7,189,1,34,0
7,190,1,50,0
7,190,2,53,0
7,191,1,34,0
7,192,1,34,0
7,193,1,3,0
7,193,2,14,0
7,194,1,6,0
