version_group_id,pokemon_id,move_id,move_method_id,level,mastery_level,sort
25,1000,14,2,0,0,0
25,1000,22,1,3,0,0
25,1000,33,1,1,0,0
25,1000,34,2,0,0,0
25,1000,36,1,21,0,0
25,1000,36,2,0,0,0
25,1000,38,2,0,0,0
25,1000,45,1,1,0,1
25,1000,73,1,9,0,0
25,1000,74,1,6,0,0
25,1000,75,1,12,0,0
25,1000,76,1,36,0,0
25,1000,76,2,0,0,0
25,1000,77,1,15,0,0
25,1000,79,1,15,0,1
25,1000,80,3,0,0,0
25,1000,92,2,0,0,0
25,1000,92,3,0,0,0
25,1000,156,2,0,0,0
25,1000,164,2,0,0,0
25,1000,174,2,0,0,0
25,1000,174,3,0,0,0
25,1000,182,2,0,0,0
25,1000,188,2,0,0,0
25,1000,202,2,0,0,0
25,1000,203,2,0,0,0
25,1000,204,2,0,0,0
25,1000,206,2,0,0,0
25,1000,214,2,0,0,0
25,1000,230,1,24,0,0
25,1000,235,1,27,0,0
25,1000,241,2,0,0,0
25,1000,263,2,0,0,0
25,1000,270,2,0,0,0
25,1000,275,3,0,0,0
25,1000,282,2,0,0,0
25,1000,311,2,0,0,0
25,1000,331,2,0,0,0
25,1000,345,2,0,0,0
25,1000,388,1,30,0,0
25,1000,402,1,18,0,0
25,1000,402,2,0,0,0
25,1000,412,2,0,0,0
25,1000,437,2,0,0,0
25,1000,438,1,33,0,0
25,1000,447,2,0,0,0
25,1000,474,2,0,0,0
25,1000,491,2,0,0,0
25,1000,520,2,0,0,0
25,1000,580,2,0,0,0
25,1000,803,2,0,0,0
25,1000,851,2,0,0,0
25,1000,885,2,0,0,0
25,2000,14,2,0,0,0
25,2000,22,1,1,0,0
25,2000,33,1,1,0,1
25,2000,34,2,0,0,0
25,2000,36,1,25,0,0
25,2000,36,2,0,0,0
25,2000,38,2,0,0,0
25,2000,45,1,1,0,2
25,2000,46,2,0,0,0
25,2000,73,1,9,0,0
25,2000,74,1,1,0,3
25,2000,75,1,12,0,0
25,2000,76,1,50,0,0
25,2000,76,2,0,0,0
25,2000,77,1,15,0,0
25,2000,79,1,15,0,1
25,2000,92,2,0,0,0
25,2000,156,2,0,0,0
25,2000,164,2,0,0,0
25,2000,174,2,0,0,0
25,2000,182,2,0,0,0
25,2000,188,2,0,0,0
25,2000,202,2,0,0,0
25,2000,203,2,0,0,0
25,2000,204,2,0,0,0
25,2000,206,2,0,0,0
25,2000,214,2,0,0,0
25,2000,230,1,30,0,0
25,2000,235,1,35,0,0
25,2000,241,2,0,0,0
25,2000,263,2,0,0,0
25,2000,270,2,0,0,0
25,2000,282,2,0,0,0
25,2000,311,2,0,0,0
25,2000,331,2,0,0,0
25,2000,345,2,0,0,0
25,2000,388,1,40,0,0
25,2000,402,1,20,0,0
25,2000,402,2,0,0,0
25,2000,412,2,0,0,0
25,2000,437,2,0,0,0
25,2000,438,1,45,0,0
25,2000,447,2,0,0,0
25,2000,474,2,0,0,0
25,2000,491,2,0,0,0
25,2000,520,2,0,0,0
25,2000,580,2,0,0,0
25,2000,803,2,0,0,0
25,2000,851,2,0,0,0
25,2000,885,2,0,0,0
25,3000,14,2,0,0,0
25,3000,22,1,1,0,2
25,3000,33,1,1,0,3
25,3000,34,2,0,0,0
25,3000,36,1,25,0,0
25,3000,36,2,0,0,0
25,3000,38,2,0,0,0
25,3000,45,1,1,0,4
25,3000,46,2,0,0,0
25,3000,63,2,0,0,0
25,3000,73,1,9,0,0
25,3000,74,1,1,0,0
25,3000,75,1,12,0,0
25,3000,76,1,58,0,0
25,3000,76,2,0,0,0
25,3000,77,1,15,0,1
25,3000,79,1,15,0,0
25,3000,80,1,1,0,1
25,3000,89,2,0,0,0
25,3000,92,2,0,0,0
25,3000,133,2,0,0,0
25,3000,156,2,0,0,0
25,3000,164,2,0,0,0
25,3000,174,2,0,0,0
25,3000,182,2,0,0,0
25,3000,184,2,0,0,0
25,3000,188,2,0,0,0
25,3000,202,2,0,0,0
25,3000,203,2,0,0,0
25,3000,204,2,0,0,0
25,3000,206,2,0,0,0
25,3000,214,2,0,0,0
25,3000,230,1,30,0,0
25,3000,235,1,37,0,0
25,3000,241,2,0,0,0
25,3000,263,2,0,0,0
25,3000,270,2,0,0,0
25,3000,282,2,0,0,0
25,3000,311,2,0,0,0
25,3000,331,2,0,0,0
25,3000,338,2,0,0,0
25,3000,345,2,0,0,0
25,3000,388,1,44,0,0
25,3000,398,2,0,0,0
25,3000,402,1,20,0,0
25,3000,402,2,0,0,0
25,3000,412,2,0,0,0
25,3000,414,2,0,0,0
25,3000,416,2,0,0,0
25,3000,437,2,0,0,0
25,3000,438,1,51,0,0
25,3000,447,2,0,0,0
25,3000,474,2,0,0,0
25,3000,491,2,0,0,0
25,3000,520,2,0,0,0
25,3000,523,2,0,0,0
25,3000,572,1,0,0,0
25,3000,572,2,0,0,0
25,3000,580,2,0,0,0
25,3000,707,2,0,0,0
25,3000,803,2,0,0,0
25,3000,851,2,0,0,0
25,3000,885,2,0,0,0
25,4000,7,2,0,0,0
25,4000,9,2,0,0,0
25,4000,10,1,1,0,0
25,4000,14,2,0,0,0
