version_group_id,pokemon_id,move_id,move_method_id,level,mastery_level,sort
26,1000,14,2,0,0,0
26,1000,22,1,3,6,0
26,1000,33,1,1,10,0
26,1000,34,2,0,0,0
26,1000,36,1,25,28,0
26,1000,38,1,45,48,0
26,1000,38,2,0,0,0
26,1000,45,1,1,10,1
26,1000,73,1,9,12,0
26,1000,74,1,6,9,0
26,1000,75,1,12,15,0
26,1000,76,1,55,58,0
26,1000,76,2,0,0,0
26,1000,77,1,15,18,0
26,1000,79,1,15,18,1
26,1000,80,2,0,0,0
26,1000,92,2,0,0,0
26,1000,113,2,0,0,0
26,1000,133,1,40,43,0
26,1000,164,2,0,0,0
26,1000,182,2,0,0,0
26,1000,188,2,0,0,0
26,1000,188,11,0,0,0
26,1000,202,2,0,0,0
26,1000,203,2,0,0,0
26,1000,206,2,0,0,0
26,1000,219,2,0,0,0
26,1000,235,1,35,38,0
26,1000,263,2,0,0,0
26,1000,331,2,0,0,0
26,1000,345,1,30,33,0
26,1000,402,2,0,0,0
26,1000,412,2,0,0,0
26,1000,482,1,42,45,0
26,1000,491,2,0,0,0
26,1000,526,2,0,0,0
26,1000,885,2,0,0,0
26,2000,14,2,0,0,0
26,2000,22,1,3,6,0
26,2000,33,1,1,10,0
26,2000,34,2,0,0,0
26,2000,34,11,0,0,0
26,2000,36,1,25,28,0
26,2000,38,1,45,48,0
26,2000,38,2,0,0,0
26,2000,45,1,1,10,1
26,2000,46,2,0,0,0
26,2000,73,1,9,12,0
26,2000,74,1,6,9,0
26,2000,75,1,12,15,0
26,2000,76,1,55,58,0
26,2000,76,2,0,0,0
26,2000,77,1,15,18,0
26,2000,79,1,15,18,1
26,2000,80,2,0,0,0
26,2000,92,2,0,0,0
26,2000,113,2,0,0,0
26,2000,133,1,40,43,0
26,2000,164,2,0,0,0
26,2000,182,2,0,0,0
26,2000,188,2,0,0,0
26,2000,202,2,0,0,0
26,2000,203,2,0,0,0
26,2000,206,2,0,0,0
26,2000,219,2,0,0,0
26,2000,235,1,35,38,0
26,2000,263,2,0,0,0
26,2000,331,2,0,0,0
26,2000,345,1,30,33,0
26,2000,402,2,0,0,0
26,2000,412,2,0,0,0
26,2000,482,1,42,45,0
26,2000,491,2,0,0,0
26,2000,526,2,0,0,0
26,2000,885,2,0,0,0
26,3000,14,2,0,0,0
