pokemon_id,version_group_id,move_id,move_method_id,level,sort
1,7,15,2,0,0
1,7,22,1,10,0
1,7,33,1,1,0
1,7,45,1,4,0
1,7,70,2,0,0
1,7,73,1,7,0
1,7,74,1,32,0
1,7,75,1,20,0
1,7,76,2,0,0
1,7,76,1,46,0
1,7,77,1,15,1
1,7,79,1,15,2
1,7,80,3,0,0
1,7,92,2,0,0
1,7,104,2,0,0
1,7,113,3,0,0
1,7,130,3,0,0
1,7,148,2,0,0
1,7,156,2,0,0
1,7,174,3,0,0
1,7,182,2,0,0
1,7,188,2,0,0
1,7,202,2,0,0
1,7,204,3,0,0
1,7,213,2,0,0
1,7,216,2,0,0
1,7,218,2,0,0
1,7,219,3,0,0
1,7,230,1,25,0
1,7,235,1,39,0
1,7,237,2,0,0
1,7,241,2,0,0
1,7,249,2,0,0
1,7,263,2,0,0
1,7,290,2,0,0
1,7,320,3,0,0
1,7,331,2,0,0
1,7,345,3,0,0
1,7,10001,2,0,0
1,7,10002,2,0,0
1,7,10003,2,0,0
1,7,10004,2,0,0
1,7,10005,2,0,0
1,7,10006,2,0,0
1,7,10007,2,0,0
1,7,10008,2,0,0
1,7,10009,2,0,0
1,7,10010,2,0,0
1,7,10011,2,0,0
1,7,10012,2,0,0
1,7,10013,2,0,0
1,7,10014,2,0,0
1,7,10015,2,0,0
1,7,10016,2,0,0
1,8,14,5,0,0
1,8,15,2,0,0
1,8,22,1,10,0
1,8,33,1,1,0
1,8,34,5,0,0
1,8,38,5,0,0
1,8,45,1,4,0
1,8,70,2,0,0
1,8,73,1,7,0
1,8,74,1,32,0
1,8,75,1,20,0
1,8,76,2,0,0
1,8,76,1,46,0
1,8,77,1,15,1
1,8,79,1,15,2
1,8,80,3,0,0
1,8,92,2,0,0
1,8,102,5,0,0
1,8,104,2,0,0
1,8,113,3,0,0
1,8,130,3,0,0
1,8,148,2,0,0
1,8,156,2,0,0
1,8,164,5,0,0
1,8,174,3,0,0
1,8,182,2,0,0
1,8,188,2,0,0
1,8,202,2,0,0
1,8,204,3,0,0
1,8,213,2,0,0
1,8,216,2,0,0
1,8,218,2,0,0
1,8,219,3,0,0
1,8,230,1,25,0
1,8,235,1,39,0
1,8,237,2,0,0
1,8,241,2,0,0
1,8,249,2,0,0
1,8,263,2,0,0
1,8,290,2,0,0
1,8,320,3,0,0
1,8,331,2,0,0
1,8,345,3,0,0
1,8,10001,2,0,0
1,8,10002,2,0,0
1,8,10003,2,0,0
1,8,10004,2,0,0
1,8,10005,2,0,0
1,8,10006,2,0,0
1,8,10007,2,0,0
1,8,10008,2,0,0
1,8,10009,2,0,0
1,8,10010,2,0,0
1,8,10011,2,0,0
1,8,10012,2,0,0
1,8,10013,2,0,0
