version_group_id,pokemon_id,slot,type_id
1,1,1,11
1,1,2,3
1,2,1,11
1,2,2,3
1,3,1,11
1,3,2,3
1,4,1,9
1,5,1,9
1,6,1,9
1,6,2,2
1,7,1,10
1,8,1,10
1,9,1,10
1,10,1,6
1,11,1,6
1,12,1,6
1,12,2,2
1,13,1,6
1,13,2,3
1,14,1,6
1,14,2,3
1,15,1,6
1,15,2,3
1,16,1,0
1,16,2,2
1,17,1,0
1,17,2,2
1,18,1,0
1,18,2,2
1,19,1,0
1,20,1,0
1,21,1,0
1,21,2,2
1,22,1,0
1,22,2,2
1,23,1,3
1,24,1,3
1,25,1,12
1,26,1,12
1,27,1,4
1,28,1,4
1,29,1,3
1,30,1,3
1,31,1,3
1,31,2,4
1,32,1,3
1,33,1,3
1,34,1,3
1,34,2,4
1,35,1,0
1,36,1,0
1,37,1,9
1,38,1,9
1,39,1,0
1,40,1,0
1,41,1,3
1,41,2,2
1,42,1,3
1,42,2,2
1,43,1,11
1,43,2,3
1,44,1,11
1,44,2,3
1,45,1,11
1,45,2,3
1,46,1,6
1,46,2,11
1,47,1,6
1,47,2,11
1,48,1,6
1,48,2,3
1,49,1,6
1,49,2,3
1,50,1,4
1,51,1,4
1,52,1,0
1,53,1,0
1,54,1,10
1,55,1,10
1,56,1,1
1,57,1,1
1,58,1,9
1,59,1,9
1,60,1,10
1,61,1,10
1,62,1,10
1,62,2,1
1,63,1,13
1,64,1,13
1,65,1,13
1,66,1,1
1,67,1,1
1,68,1,1
1,69,1,11
1,69,2,3
1,70,1,11
1,70,2,3
1,71,1,11
1,71,2,3
1,72,1,10
1,72,2,3
1,73,1,10
1,73,2,3
1,74,1,5
1,74,2,4
1,75,1,5
1,75,2,4
1,76,1,5
1,76,2,4
1,77,1,9
1,78,1,9
1,79,1,10
1,79,2,13
1,80,1,10
1,80,2,13
1,81,1,12
1,82,1,12
1,83,1,0
1,83,2,2
1,84,1,0
1,84,2,2
1,85,1,0
1,85,2,2
1,86,1,10
1,87,1,10
1,87,2,14
1,88,1,3
1,89,1,3
1,90,1,10
1,91,1,10
1,91,2,14
1,92,1,7
1,92,2,3
1,93,1,7
1,93,2,3
1,94,1,7
1,94,2,3
1,95,1,5
1,95,2,4
1,96,1,13
1,97,1,13
1,98,1,10
1,99,1,10
1,100,1,12
1,101,1,12
1,102,1,11
1,102,2,13
1,103,1,11
1,103,2,13
1,104,1,4
1,105,1,4
1,106,1,1
1,107,1,1
1,108,1,0
1,109,1,3
1,110,1,3
1,111,1,4
1,111,2,5
1,112,1,4
1,112,2,5
1,113,1,0
1,114,1,11
1,115,1,0
1,116,1,10
1,117,1,10
1,118,1,10
1,119,1,10
1,120,1,10
1,121,1,10
1,121,2,13
1,122,1,13
1,123,1,6
1,123,2,2
1,124,1,14
1,124,2,13
1,125,1,12
1,126,1,9
1,127,1,6
1,128,1,0
1,129,1,10
1,130,1,10
1,130,2,2
1,131,1,10
1,131,2,14
1,132,1,0
1,133,1,0
1,134,1,10
1,135,1,12
1,136,1,9
1,137,1,0
1,138,1,5
1,138,2,10
1,139,1,5
1,139,2,10
1,140,1,5
1,140,2,10
1,141,1,5
1,141,2,10
1,142,1,5
1,142,2,2
1,143,1,0
1,144,1,14
1,144,2,2
1,145,1,12
1,145,2,2
1,146,1,9
1,146,2,2
1,147,1,15
1,148,1,15
1,149,1,15
1,149,2,2
1,150,1,13
1,151,1,13
2,1,1,11
2,1,2,3
2,2,1,11
2,2,2,3
2,3,1,11
2,3,2,3
2,4,1,9
2,5,1,9
2,6,1,9
2,6,2,2
2,7,1,10
2,8,1,10
2,9,1,10
2,10,1,6
2,11,1,6
2,12,1,6
2,12,2,2
2,13,1,6
2,13,2,3
2,14,1,6
2,14,2,3
2,15,1,6
2,15,2,3
2,16,1,0
2,16,2,2
2,17,1,0
2,17,2,2
2,18,1,0
2,18,2,2
2,19,1,0
2,20,1,0
2,21,1,0
2,21,2,2
2,22,1,0
2,22,2,2
2,23,1,3
2,24,1,3
2,25,1,12
2,26,1,12
2,27,1,4
2,28,1,4
2,29,1,3
2,30,1,3
2,31,1,3
2,31,2,4
2,32,1,3
2,33,1,3
2,34,1,3
2,34,2,4
2,35,1,0
2,36,1,0
2,37,1,9
2,38,1,9
2,39,1,0
2,40,1,0
2,41,1,3
2,41,2,2
2,42,1,3
2,42,2,2
2,43,1,11
2,43,2,3
2,44,1,11
2,44,2,3
2,45,1,11
2,45,2,3
2,46,1,6
2,46,2,11
2,47,1,6
2,47,2,11
2,48,1,6
2,48,2,3
2,49,1,6
2,49,2,3
2,50,1,4
2,51,1,4
2,52,1,0
2,53,1,0
2,54,1,10
2,55,1,10
2,56,1,1
2,57,1,1
2,58,1,9
2,59,1,9
2,60,1,10
2,61,1,10
2,62,1,10
2,62,2,1
2,63,1,13
2,64,1,13
2,65,1,13
2,66,1,1
2,67,1,1
2,68,1,1
2,69,1,11
2,69,2,3
2,70,1,11
2,70,2,3
2,71,1,11
2,71,2,3
2,72,1,10
2,72,2,3
2,73,1,10
2,73,2,3
2,74,1,5
2,74,2,4
2,75,1,5
2,75,2,4
2,76,1,5
2,76,2,4
2,77,1,9
2,78,1,9
2,79,1,10
2,79,2,13
2,80,1,10
2,80,2,13
2,81,1,12
2,82,1,12
2,83,1,0
2,83,2,2
2,84,1,0
2,84,2,2
2,85,1,0
2,85,2,2
2,86,1,10
2,87,1,10
2,87,2,14
2,88,1,3
2,89,1,3
2,90,1,10
2,91,1,10
2,91,2,14
2,92,1,7
2,92,2,3
2,93,1,7
2,93,2,3
2,94,1,7
2,94,2,3
2,95,1,5
2,95,2,4
2,96,1,13
2,97,1,13
2,98,1,10
2,99,1,10
2,100,1,12
2,101,1,12
2,102,1,11
2,102,2,13
2,103,1,11
2,103,2,13
2,104,1,4
2,105,1,4
2,106,1,1
2,107,1,1
2,108,1,0
2,109,1,3
2,110,1,3
2,111,1,4
2,111,2,5
2,112,1,4
2,112,2,5
2,113,1,0
2,114,1,11
2,115,1,0
2,116,1,10
2,117,1,10
2,118,1,10
2,119,1,10
2,120,1,10
2,121,1,10
2,121,2,13
2,122,1,13
2,123,1,6
2,123,2,2
2,124,1,14
2,124,2,13
2,125,1,12
2,126,1,9
2,127,1,6
2,128,1,0
2,129,1,10
2,130,1,10
2,130,2,2
2,131,1,10
2,131,2,14
2,132,1,0
2,133,1,0
2,134,1,10
2,135,1,12
2,136,1,9
2,137,1,0
2,138,1,5
2,138,2,10
2,139,1,5
2,139,2,10
2,140,1,5
2,140,2,10
2,141,1,5
2,141,2,10
2,142,1,5
2,142,2,2
2,143,1,0
2,144,1,14
2,144,2,2
2,145,1,12
2,145,2,2
2,146,1,9
2,146,2,2
2,147,1,15
2,148,1,15
2,149,1,15
2,149,2,2
2,150,1,13
2,151,1,13
3,1,1,11
3,1,2,3
3,2,1,11
3,2,2,3
3,3,1,11
3,3,2,3
3,4,1,9
3,5,1,9
3,6,1,9
3,6,2,2
3,7,1,10
3,8,1,10
3,9,1,10
3,10,1,6
3,11,1,6
3,12,1,6
3,12,2,2
3,13,1,6
3,13,2,3
3,14,1,6
3,14,2,3
3,15,1,6
3,15,2,3
3,16,1,0
3,16,2,2
3,17,1,0
3,17,2,2
3,18,1,0
3,18,2,2
3,19,1,0
3,20,1,0
3,21,1,0
3,21,2,2
3,22,1,0
3,22,2,2
3,23,1,3
3,24,1,3
3,25,1,12
3,26,1,12
3,27,1,4
3,28,1,4
3,29,1,3
3,30,1,3
3,31,1,3
3,31,2,4
3,32,1,3
3,33,1,3
3,34,1,3
3,34,2,4
3,35,1,0
3,36,1,0
3,37,1,9
3,38,1,9
3,39,1,0
3,40,1,0
3,41,1,3
3,41,2,2
3,42,1,3
3,42,2,2
3,43,1,11
3,43,2,3
3,44,1,11
3,44,2,3
3,45,1,11
3,45,2,3
3,46,1,6
3,46,2,11
3,47,1,6
3,47,2,11
3,48,1,6
3,48,2,3
3,49,1,6
3,49,2,3
3,50,1,4
3,51,1,4
3,52,1,0
3,53,1,0
3,54,1,10
3,55,1,10
3,56,1,1
3,57,1,1
3,58,1,9
3,59,1,9
3,60,1,10
3,61,1,10
3,62,1,10
3,62,2,1
3,63,1,13
3,64,1,13
3,65,1,13
3,66,1,1
3,67,1,1
3,68,1,1
3,69,1,11
3,69,2,3
3,70,1,11
3,70,2,3
3,71,1,11
3,71,2,3
3,72,1,10
3,72,2,3
3,73,1,10
3,73,2,3
3,74,1,5
3,74,2,4
3,75,1,5
3,75,2,4
3,76,1,5
3,76,2,4
3,77,1,9
3,78,1,9
3,79,1,10
3,79,2,13
3,80,1,10
3,80,2,13
3,81,1,12
3,82,1,12
3,83,1,0
3,83,2,2
3,84,1,0
3,84,2,2
3,85,1,0
3,85,2,2
3,86,1,10
3,87,1,10
3,87,2,14
3,88,1,3
3,89,1,3
3,90,1,10
3,91,1,10
3,91,2,14
3,92,1,7
3,92,2,3
3,93,1,7
3,93,2,3
3,94,1,7
3,94,2,3
3,95,1,5
3,95,2,4
3,96,1,13
3,97,1,13
3,98,1,10
3,99,1,10
3,100,1,12
3,101,1,12
3,102,1,11
3,102,2,13
3,103,1,11
3,103,2,13
3,104,1,4
3,105,1,4
3,106,1,1
3,107,1,1
3,108,1,0
3,109,1,3
3,110,1,3
3,111,1,4
3,111,2,5
3,112,1,4
3,112,2,5
3,113,1,0
3,114,1,11
3,115,1,0
3,116,1,10
3,117,1,10
3,118,1,10
3,119,1,10
3,120,1,10
3,121,1,10
3,121,2,13
3,122,1,13
3,123,1,6
3,123,2,2
3,124,1,14
3,124,2,13
3,125,1,12
3,126,1,9
3,127,1,6
3,128,1,0
3,129,1,10
3,130,1,10
3,130,2,2
3,131,1,10
3,131,2,14
3,132,1,0
3,133,1,0
3,134,1,10
3,135,1,12
3,136,1,9
3,137,1,0
3,138,1,5
3,138,2,10
3,139,1,5
3,139,2,10
3,140,1,5
3,140,2,10
3,141,1,5
3,141,2,10
