generation_id,shape_id,image
4,1,dp/only-head.png
4,2,dp/serpentine-body.png
4,3,dp/fins.png
4,4,dp/head-and-arms.png
4,5,dp/head-and-base.png
4,6,dp/bipedal-tailed.png
4,7,dp/head-and-legs.png
4,8,dp/quadruped-body.png
4,9,dp/single-wings.png
4,10,dp/tentacles.png
4,11,dp/multiple-bodies.png
4,12,dp/bipedal-tailless.png
4,13,dp/multiple-wings.png
4,14,dp/insectoid-body.png
5,1,bw/only-head.png
5,2,bw/serpentine-body.png
5,3,bw/fins.png
5,4,bw/head-and-arms.png
5,5,bw/head-and-base.png
5,6,bw/bipedal-tailed.png
5,7,bw/head-and-legs.png
5,8,bw/quadruped-body.png
5,9,bw/single-wings.png
5,10,bw/tentacles.png
5,11,bw/multiple-bodies.png
5,12,bw/bipedal-tailless.png
5,13,bw/multiple-wings.png
5,14,bw/insectoid-body.png
6,1,xy/only-head.png
6,2,xy/serpentine-body.png
6,3,xy/fins.png
6,4,xy/head-and-arms.png
6,5,xy/head-and-base.png
6,6,xy/bipedal-tailed.png
6,7,xy/head-and-legs.png
6,8,xy/quadruped-body.png
6,9,xy/single-wings.png
6,10,xy/tentacles.png
6,11,xy/multiple-bodies.png
6,12,xy/bipedal-tailless.png
6,13,xy/multiple-wings.png
6,14,xy/insectoid-body.png
7,1,xy/only-head.png
7,2,xy/serpentine-body.png
7,3,xy/fins.png
7,4,xy/head-and-arms.png
7,5,xy/head-and-base.png
7,6,xy/bipedal-tailed.png
7,7,xy/head-and-legs.png
7,8,xy/quadruped-body.png
7,9,xy/single-wings.png
7,10,xy/tentacles.png
7,11,xy/multiple-bodies.png
7,12,xy/bipedal-tailless.png
7,13,xy/multiple-wings.png
7,14,xy/insectoid-body.png
