name,pokemon_id
Bulbasaur,1000
Ivysaur,2000
Venusaur,3000
Venusaur-Mega,3001
Charmander,4000
Charmeleon,5000
Charizard,6000
Charizard-Mega-X,6001
Charizard-Mega-Y,6002
Squirtle,7000
Wartortle,8000
Blastoise,9000
Blastoise-Mega,9001
Caterpie,10000
Metapod,11000
Butterfree,12000
Weedle,13000
Kakuna,14000
Beedrill,15000
Beedrill-Mega,15001
Pidgey,16000
Pidgeotto,17000
Pidgeot,18000
Pidgeot-Mega,18001
Rattata,19000
Rattata-Alola,19001
Raticate,20000
Raticate-Alola,20001
Raticate-Alola-Totem,20051
Spearow,21000
Fearow,22000
Ekans,23000
Arbok,24000
Pikachu,25000
Pikachu-Original,25001
Pikachu-Hoenn,25002
Pikachu-Sinnoh,25003
Pikachu-Unova,25004
Pikachu-Kalos,25005
Pikachu-Alola,25006
Pikachu-Partner,25007
Pikachu-Rock-Star,25051
Pikachu-Belle,25052
Pikachu-Pop-Star,25053
Pikachu-PhD,25054
Pikachu-Libre,25055
Pikachu-Cosplay,25056
Pikachu-Starter,25057
Raichu,26000
Raichu-Alola,26001
Raichu-Mega-X,26002
Raichu-Mega-Y,26003
Sandshrew,27000
Sandshrew-Alola,27001
Sandslash,28000
Sandslash-Alola,28001
NidoranF,29000
Nidorina,30000
Nidoqueen,31000
NidoranM,32000
Nidorino,33000
Nidoking,34000
Clefairy,35000
Clefable,36000
Clefable-Mega,36001
Vulpix,37000
Vulpix-Alola,37001
Ninetales,38000
Ninetales-Alola,38001
Jigglypuff,39000
Wigglytuff,40000
Zubat,41000
Golbat,42000
Oddish,43000
Gloom,44000
Vileplume,45000
Paras,46000
Parasect,47000
Venonat,48000
Venomoth,49000
Diglett,50000
Diglett-Alola,50001
Dugtrio,51000
Dugtrio-Alola,51001
Meowth,52000
Meowth-Alola,52001
Meowth-Galar,52002
Persian,53000
Persian-Alola,53001
Psyduck,54000
Golduck,55000
Mankey,56000
Primeape,57000
Growlithe,58000
Growlithe-Hisui,58001
Arcanine,59000
Arcanine-Hisui,59001
Poliwag,60000
Poliwhirl,61000
Poliwrath,62000
Abra,63000
Kadabra,64000
Alakazam,65000
Alakazam-Mega,65001
Machop,66000
Machoke,67000
Machamp,68000
Bellsprout,69000
Weepinbell,70000
Victreebel,71000
Victreebel-Mega,71001
Tentacool,72000
Tentacruel,73000
Geodude,74000
Geodude-Alola,74001
Graveler,75000
Graveler-Alola,75001
Golem,76000
Golem-Alola,76001
Ponyta,77000
Ponyta-Galar,77001
Rapidash,78000
Rapidash-Galar,78001
Slowpoke,79000
Slowpoke-Galar,79001
Slowbro,80000
Slowbro-Mega,80001
Slowbro-Galar,80002
Magnemite,81000
Magneton,82000
Farfetch'd,83000
Farfetch'd-Galar,83001
Doduo,84000
Dodrio,85000
Seel,86000
Dewgong,87000
Grimer,88000
Grimer-Alola,88001
Muk,89000
Muk-Alola,89001
Shellder,90000
Cloyster,91000
Gastly,92000
Haunter,93000
Gengar,94000
Gengar-Mega,94001
Onix,95000
Drowzee,96000
Hypno,97000
Krabby,98000
Kingler,99000
Voltorb,100000
Voltorb-Hisui,100001
Electrode,101000
Electrode-Hisui,101001
Exeggcute,102000
Exeggutor,103000
Exeggutor-Alola,103001
Cubone,104000
Marowak,105000
Marowak-Alola,105001
