transformation_group_id,pokemon_id
1,351
1,10001
1,10002
1,10003
2,492
2,10031
3,555
3,10034
4,648
4,10035
5,3
5,10041
6,6
6,10042
6,10043
7,9
7,10044
8,65
8,10045
9,94
9,10046
10,115
10,10047
11,127
11,10048
12,130
12,10049
13,142
13,10050
14,150
14,10051
14,10052
15,181
15,10053
16,212
16,10054
17,214
17,10055
18,229
18,10056
19,248
19,10057
20,257
20,10058
21,282
21,10059
22,303
22,10060
23,306
23,10061
24,308
24,10062
25,310
25,10063
26,354
26,10064
27,359
27,10065
28,380
28,10066
29,381
29,10067
30,445
30,10068
31,448
31,10069
32,460
32,10070
33,681
33,10074
34,15
34,10081
35,18
35,10082
36,80
36,10089
37,208
37,10090
38,254
38,10091
39,260
39,10092
40,302
40,10093
41,319
41,10094
42,323
42,10095
43,334
43,10096
44,362
44,10097
45,373
45,10098
46,376
46,10099
47,382
47,10100
48,383
48,10101
49,384
49,10102
50,428
50,10103
51,475
51,10104
52,531
52,10105
53,719
53,10106
54,746
54,10137
55,774
55,10155
56,10127
56,10128
57,10130
57,10131
57,10132
58,10158
58,10159
58,10160
