id,identifier
1,castform
2,shaymin
3,darmanitan
4,meloetta
5,venusaur
6,charizard
7,blastoise
8,alakazam
9,gengar
10,kangaskhan
11,pinsir
12,gyarados
13,aerodactyl
14,mewtwo
15,ampharos
16,scizor
17,heracross
18,houndoom
19,tyranitar
20,blaziken
21,gardevoir
22,mawile
23,aggron
24,medicham
25,manectric
26,banette
27,absol
28,latias
29,latios
30,garchomp
31,lucario
32,abomasnow
33,aegislash
34,beedrill
35,pidgeot
36,slowbro
37,steelix
38,sceptile
39,swampert
40,sableye
41,sharpedo
42,camerupt
43,altaria
44,glalie
45,salamence
46,metagross
47,kyogre
48,groudon
49,rayquaza
50,lopunny
51,gallade
52,audino
53,diancie
54,wishiwashi
55,minior
56,greninja
57,zygarde
58,necrozma
