id,identifier,category_id,symbol_icon,hidden_power_index,color_code
0,normal,1,normal.png,\N,#a8a878
1,fighting,1,fighting.png,0,#c03028
2,flying,1,flying.png,1,#a890f0
3,poison,1,poison.png,2,#a040a0
4,ground,1,ground.png,3,#e0c068
5,rock,1,rock.png,4,#b8a038
6,bug,1,bug.png,5,#a8b820
7,ghost,1,ghost.png,6,#705898
8,steel,1,steel.png,7,#b8b8d0
9,fire,2,fire.png,8,#f08030
10,water,2,water.png,9,#6890f0
11,grass,2,grass.png,10,#78c850
12,electric,2,electric.png,11,#f8d030
13,psychic,2,psychic.png,12,#f85888
14,ice,2,ice.png,13,#98d8d8
15,dragon,2,dragon.png,14,#7038f8
16,dark,2,dark.png,15,#705848
17,fairy,\N,fairy.png,\N,#ee99ac
18,stellar,\N,stellar.png,\N,#7cc7b2
101,unknown,\N,,\N,#68a090
102,shadow,\N,,\N,#000000
