id,identifier,version_group_id,abbreviation,background_color,text_color
1,red-jp,1,R,#da3914,white
2,green,1,G,#24a724,white
3,blue-jp,2,B,#2e50d8,white
4,red,3,R,#da3914,white
5,blue,3,B,#2e50d8,white
6,yellow,4,Y,#ffd733,black
7,gold,5,G,#daa520,white
8,silver,5,S,#c0c0c0,white
9,crystal,6,C,#4fd9ff,white
10,ruby,7,R,#cd2236,white
11,sapphire,7,S,#3d51a7,white
12,firered,8,FR,#f15c01,white
13,leafgreen,8,LG,#9fdc00,white
14,emerald,9,E,#009652,white
15,diamond,10,D,#90beed,white
16,pearl,10,P,#dd7cb1,white
17,platinum,11,Pt,#a0a08d,white
18,heartgold,12,HG,#e8b502,white
19,soulsilver,12,SS,#aab9cf,white
20,black,13,B,#444444,white
21,white,13,W,#e1e1e1,black
22,black-2,14,B2,#303e51,white
23,white-2,14,W2,#ebc5c3,black
24,x,15,X,#025da6,white
25,y,15,Y,#ea1a3e,white
26,omega-ruby,16,OR,#ab2813,white
27,alpha-sapphire,16,AS,#26649c,white
28,sun,17,S,#f1912b,white
29,moon,17,M,#5599ca,white
30,ultra-sun,18,US,#e95b2b,white
31,ultra-moon,18,UM,#226db5,white
32,lets-go-pikachu,19,LGP,#f5da26,black
33,lets-go-eevee,19,LGE,#d4924b,white
34,sword,20,Sw,#00a1e9,white
35,shield,20,Sh,#bf004f,white
36,brilliant-diamond,21,BD,#44bae5,white
37,shining-pearl,21,SP,#da7d99,white
38,legends-arceus,22,LA,#36597b,white
39,scarlet,23,S,#f34134,white
40,violet,23,V,#8334b7,white
101,colosseum,101,Co,#b6cae4,white
102,xd,102,XD,#604e82,white
