version_group_id,item_id,game_index,icon,item_fling_power,item_fling_effect_id,is_available
1,0,0,,\N,\N,0
1,1,1,,\N,\N,1
1,2,2,,\N,\N,1
1,3,3,,\N,\N,1
1,4,4,,\N,\N,1
1,5,8,,\N,\N,0
1,17,20,,\N,\N,1
1,18,11,,\N,\N,1
1,19,12,,\N,\N,1
1,20,13,,\N,\N,1
1,21,14,,\N,\N,1
1,22,15,,\N,\N,1
1,23,16,,\N,\N,1
1,24,17,,\N,\N,1
1,25,18,,\N,\N,1
1,26,19,,\N,\N,1
1,27,52,,\N,\N,1
1,28,53,,\N,\N,1
1,29,54,,\N,\N,1
1,30,60,,\N,\N,1
1,31,61,,\N,\N,1
1,32,62,,\N,\N,1
1,38,80,,\N,\N,1
1,39,81,,\N,\N,1
1,40,82,,\N,\N,1
1,41,83,,\N,\N,1
1,45,35,,\N,\N,1
1,46,36,,\N,\N,1
1,47,37,,\N,\N,1
1,48,38,,\N,\N,1
1,49,39,,\N,\N,1
1,50,40,,\N,\N,1
1,51,79,,\N,\N,1
1,55,55,,\N,\N,1
1,56,58,,\N,\N,1
1,57,65,,\N,\N,1
1,58,66,,\N,\N,1
1,59,67,,\N,\N,1
1,60,46,,\N,\N,1
1,61,68,,\N,\N,1
1,63,51,,\N,\N,1
1,76,56,,\N,\N,1
1,77,57,,\N,\N,1
1,78,29,,\N,\N,1
1,79,30,,\N,\N,1
1,81,10,,\N,\N,1
1,82,32,,\N,\N,1
1,83,33,,\N,\N,1
1,84,34,,\N,\N,1
1,85,47,,\N,\N,1
1,92,49,,\N,\N,1
1,101,42,,\N,\N,1
1,102,41,,\N,\N,1
1,103,31,,\N,\N,1
1,216,75,,\N,\N,1
1,328,201,,\N,\N,1
1,329,202,,\N,\N,1
1,330,203,,\N,\N,1
1,331,204,,\N,\N,1
1,332,205,,\N,\N,1
1,333,206,,\N,\N,1
1,334,207,,\N,\N,1
1,335,208,,\N,\N,1
1,336,209,,\N,\N,1
1,337,210,,\N,\N,1
1,338,211,,\N,\N,1
1,339,212,,\N,\N,1
1,340,213,,\N,\N,1
1,341,214,,\N,\N,1
1,342,215,,\N,\N,1
1,343,216,,\N,\N,1
1,344,217,,\N,\N,1
1,345,218,,\N,\N,1
1,346,219,,\N,\N,1
1,347,220,,\N,\N,1
1,348,221,,\N,\N,1
1,349,222,,\N,\N,1
1,350,223,,\N,\N,1
1,351,224,,\N,\N,1
1,352,225,,\N,\N,1
1,353,226,,\N,\N,1
1,354,227,,\N,\N,1
1,355,228,,\N,\N,1
1,356,229,,\N,\N,1
1,357,230,,\N,\N,1
1,358,231,,\N,\N,1
1,359,232,,\N,\N,1
1,360,233,,\N,\N,1
1,361,234,,\N,\N,1
1,362,235,,\N,\N,1
1,363,236,,\N,\N,1
1,364,237,,\N,\N,1
1,365,238,,\N,\N,1
1,366,239,,\N,\N,1
1,367,240,,\N,\N,1
1,368,241,,\N,\N,1
1,369,242,,\N,\N,1
1,370,243,,\N,\N,1
1,371,244,,\N,\N,1
1,372,245,,\N,\N,1
1,373,246,,\N,\N,1
1,374,247,,\N,\N,1
1,375,248,,\N,\N,1
1,376,249,,\N,\N,1
1,377,250,,\N,\N,1
1,420,196,,\N,\N,1
1,421,197,,\N,\N,1
1,422,198,,\N,\N,1
1,423,199,,\N,\N,1
1,424,200,,\N,\N,1
1,442,5,,\N,\N,1
1,444,69,,\N,\N,1
1,445,76,,\N,\N,1
1,446,77,,\N,\N,1
1,447,78,,\N,\N,1
1,450,6,,\N,\N,1
1,471,71,,\N,\N,1
1,651,73,,\N,\N,1
1,872,43,,\N,\N,1
1,873,63,,\N,\N,1
1,874,72,,\N,\N,1
1,875,70,,\N,\N,1
1,876,48,,\N,\N,1
1,877,64,,\N,\N,1
1,878,74,,\N,\N,1
1,10001,45,,\N,\N,1
2,0,0,,\N,\N,0
2,1,1,,\N,\N,1
2,2,2,,\N,\N,1
2,3,3,,\N,\N,1
2,4,4,,\N,\N,1
2,5,8,,\N,\N,0
2,17,20,,\N,\N,1
2,18,11,,\N,\N,1
2,19,12,,\N,\N,1
2,20,13,,\N,\N,1
2,21,14,,\N,\N,1
2,22,15,,\N,\N,1
