version_group_id,flag_id,is_functional
5,1,1
5,2,1
6,1,1
6,2,1
7,1,1
7,3,1
7,4,1
7,5,1
7,6,1
7,7,1
8,1,1
8,3,1
8,4,1
8,5,1
8,6,1
8,7,1
9,1,1
9,3,1
9,4,1
9,5,1
9,6,1
9,7,1
10,1,1
10,3,1
10,4,1
10,5,1
10,6,1
10,7,1
11,1,1
11,3,1
11,4,1
11,5,1
11,6,1
11,7,1
12,1,1
12,3,1
12,4,1
12,5,1
12,6,1
12,7,1
13,1,1
13,3,1
13,4,1
13,5,1
13,6,1
13,7,1
14,1,1
14,3,1
14,4,1
14,5,1
14,6,1
14,7,1
15,3,1
15,4,1
15,5,1
15,6,1
15,7,1
15,8,1
15,9,1
15,10,1
15,11,1
15,12,1
15,13,1
15,14,1
15,15,1
15,16,1
16,3,1
16,4,1
16,5,1
16,6,1
16,7,1
16,8,1
16,9,1
16,10,1
16,11,1
16,12,1
16,13,1
16,14,1
16,15,1
16,16,1
17,3,1
17,4,1
17,5,1
17,6,1
17,7,1
17,8,1
17,9,1
17,10,1
17,11,1
17,12,1
17,13,1
17,14,1
17,15,1
17,16,1
17,17,1
17,18,1
18,3,1
18,4,1
18,5,1
18,6,1
18,7,1
18,8,1
18,9,1
18,10,1
18,11,1
18,12,1
18,13,1
18,14,1
18,15,1
18,16,1
18,17,0
18,18,1
19,3,1
19,4,1
19,5,1
19,6,1
19,7,1
19,8,1
19,9,1
19,10,1
19,11,1
19,12,1
19,13,1
19,14,0
19,15,1
19,16,1
19,17,0
19,18,1
19,19,1
20,3,1
20,4,1
20,5,1
20,6,1
20,7,1
20,8,1
20,9,1
20,10,1
20,11,1
20,12,1
20,13,1
20,14,0
20,15,1
20,16,1
20,17,0
20,18,1
20,19,1
21,3,1
21,4,1
21,5,0
21,6,0
21,7,1
21,8,1
21,9,1
21,10,1
21,11,0
21,12,0
21,13,1
21,14,0
21,15,1
21,16,1
21,17,0
21,18,1
21,19,0
22,3,1
22,4,1
22,5,1
22,6,0
22,7,0
22,8,1
22,9,1
22,10,1
22,11,1
22,12,1
22,13,1
22,14,0
22,15,1
22,16,1
22,17,0
22,18,1
22,19,0
22,20,1
23,3,1
23,4,1
23,5,1
23,6,0
23,7,0
23,8,1
23,9,1
23,10,1
23,11,1
23,12,1
23,13,1
23,14,0
23,15,1
23,16,1
23,17,0
23,18,1
23,19,0
23,20,1
24,3,1
24,4,0
24,5,0
24,6,0
24,7,0
24,8,1
24,9,1
24,10,0
24,11,0
24,12,0
24,13,1
24,14,0
24,15,1
24,16,0
24,17,0
24,18,1
24,19,0
24,20,0
24,21,1
24,22,1
25,3,1
25,4,1
25,5,1
25,6,0
25,7,0
25,8,1
25,9,1
25,10,1
25,11,1
25,12,1
25,13,1
25,14,0
25,15,1
25,16,1
25,17,0
25,18,1
25,19,1
25,20,1
25,23,1
25,24,0
25,25,1
25,26,1
25,27,1
25,28,1
25,29,0
25,30,1
25,31,1
25,32,1
25,33,1
25,34,1
25,35,1
25,36,0
25,37,1
25,38,1
25,39,1
25,40,1
25,46,1
25,47,1
