into_vg_id,from_vg_id
1,1
1,2
1,4
1,5
1,6
2,1
2,2
2,4
2,5
2,6
3,3
3,4
3,5
3,6
4,3
4,4
4,5
4,6
5,1
5,2
5,3
5,4
5,5
5,6
6,1
6,2
6,3
6,4
6,5
6,6
7,7
7,8
7,9
7,10
7,11
8,7
8,8
8,9
8,10
8,11
9,7
9,8
9,9
9,10
9,11
10,7
10,8
10,9
10,10
10,11
11,7
11,8
11,9
11,10
11,11
12,7
12,8
12,9
12,10
12,11
12,12
12,13
12,14
13,7
13,8
13,9
13,10
13,11
13,12
13,13
13,14
14,7
14,8
14,9
14,10
14,11
14,12
14,13
14,14
15,7
15,8
15,9
15,10
15,11
15,12
15,13
15,14
15,15
15,16
16,7
16,8
16,9
16,10
16,11
16,12
16,13
16,14
16,15
16,16
17,7
17,8
17,9
17,10
17,11
17,12
17,13
17,14
17,15
17,16
17,17
17,18
18,7
18,8
18,9
18,10
18,11
18,12
18,13
18,14
18,15
18,16
18,17
18,18
19,1
19,2
19,3
19,4
19,5
19,6
19,7
19,8
19,9
19,10
19,11
19,12
19,13
19,14
19,15
19,16
19,17
19,18
19,19
19,20
20,1
20,2
20,3
20,4
20,5
20,6
20,7
20,8
20,9
20,10
20,11
20,12
20,13
20,14
20,15
20,16
20,17
20,18
20,19
20,20
21,21
22,1
22,2
22,3
22,4
22,5
22,6
22,7
22,8
22,9
22,10
22,11
22,12
22,13
22,14
22,15
22,16
22,17
22,18
22,19
22,20
22,21
22,22
23,23
24,24
25,25
26,26
27,27
