version_group_id,move_id,can_use_move,type_id,quality_id,category_id,power,accuracy,pp,priority,min_hits,max_hits,infliction_id,infliction_percent,duration_id,min_turns,max_turns,crit_stage,flinch_percent,effect,recoil_percent,heal_percent,target_id,affinity_id,max_move_id,max_power,z_move_id,z_base_power,z_power_effect,effect_percent
20,1,1,0,0,1,40,100,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,760,90,\N,\N,\N,\N
20,2,0,1,0,1,50,100,25,0,0,0,0,0,0,0,0,1,0,43,0,0,0,\N,761,75,\N,\N,\N,\N
20,3,0,0,0,1,15,85,10,0,2,5,0,0,0,0,0,0,0,29,0,0,0,\N,760,90,\N,\N,\N,\N
20,4,0,0,0,1,18,85,15,0,2,5,0,0,0,0,0,0,0,29,0,0,0,\N,760,100,\N,\N,\N,\N
20,5,1,0,0,1,80,85,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,760,130,\N,\N,\N,\N
20,6,1,0,0,1,40,100,20,0,0,0,0,0,0,0,0,0,0,34,0,0,0,\N,760,90,\N,\N,\N,\N
20,7,1,9,4,1,75,100,15,0,0,0,4,10,1,0,0,0,0,4,0,0,0,\N,757,130,\N,\N,\N,\N
20,8,1,14,4,1,75,100,15,0,0,0,3,10,1,0,0,0,0,5,0,0,0,\N,763,130,\N,\N,\N,\N
20,9,1,12,4,1,75,100,15,0,0,0,1,10,1,0,0,0,0,6,0,0,0,\N,759,130,\N,\N,\N,\N
20,10,1,0,0,1,40,100,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,760,90,\N,\N,\N,\N
20,11,1,0,0,1,55,100,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,760,110,\N,\N,\N,\N
20,12,1,0,9,1,1,30,5,0,0,0,0,0,0,0,0,0,0,38,0,0,0,\N,760,130,\N,\N,\N,\N
20,13,0,0,0,2,80,100,10,0,0,0,0,0,0,0,0,1,0,39,0,0,5,\N,760,130,\N,\N,\N,\N
20,14,1,0,2,0,0,101,20,0,0,0,0,0,0,0,0,0,0,50,0,0,7,\N,743,0,\N,\N,\N,\N
20,15,1,0,0,1,50,95,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,760,100,\N,\N,\N,\N
20,16,1,2,0,2,40,100,35,0,0,0,0,0,0,0,0,0,0,149,0,0,0,\N,766,90,\N,\N,\N,\N
20,17,1,2,0,1,60,100,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,766,110,\N,\N,\N,\N
20,18,1,0,12,0,0,101,20,-6,0,0,0,0,0,0,0,0,0,28,0,0,0,\N,743,0,\N,\N,\N,\N
20,19,1,2,0,1,90,95,15,0,0,0,0,0,0,0,0,0,0,155,0,0,0,\N,766,130,\N,\N,\N,\N
20,20,1,0,4,1,15,85,20,0,0,0,8,100,4,5,6,0,0,42,0,0,0,\N,760,90,\N,\N,\N,\N
20,21,1,0,0,1,80,75,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,760,130,\N,\N,\N,\N
20,22,1,11,0,1,45,100,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,773,100,\N,\N,\N,\N
20,23,1,0,0,1,65,100,20,0,0,0,0,0,0,0,0,0,30,150,0,0,0,\N,760,120,\N,\N,\N,\N
20,24,1,1,0,1,30,100,30,0,2,2,0,0,0,0,0,0,0,44,0,0,0,\N,761,80,\N,\N,\N,\N
20,25,1,0,0,1,120,75,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,\N,760,140,\N,\N,\N,\N
20,26,0,1,0,1,100,95,10,0,0,0,0,0,0,0,0,0,0,45,0,0,0,\N,761,90,\N,\N,\N,\N
