language_id,version_group_id,name
1,1,赤・緑
1,2,青
1,3,赤・青 (国際)
1,4,ピカチュウ
1,5,金・銀
1,6,クリスタル
1,7,ルビー・サファイア
1,8,コロシアム
1,9,ファイアレッド・リーフグリーン
1,10,エメラルド
1,11,ＸＤ 闇の旋風ダーク・ルギア
1,12,ダイヤモンド・パール
1,13,プラチナ
1,14,ハートゴールド・ソウルシルバー
1,15,ブラック・ホワイト
1,16,ブラック2・ホワイト2
1,17,X・Y
1,18,オメガルビー・アルファサファイア
1,19,サン・ムーン
1,20,ウルトラサン・ウルトラムーン
1,21,Let's Go! ピカチュウ・Let's Go! イーブイ
1,22,ソード・シールド
1,23,ブリリアントダイヤモンド・シャイニングパール
1,24,LEGENDS アルセウス
1,25,スカーレット・バイオレット
1,26,LEGENDS Z-A
1,27,チャンピオンズ
2,1,Red/Green (J)
2,2,Blue (J)
2,3,Red/Blue
2,4,Yellow
2,5,Gold/Silver
2,6,Crystal
2,7,Ruby/Sapphire
2,8,Colosseum
2,9,FireRed/LeafGreen
2,10,Emerald
2,11,XD: Gale of Darkness
2,12,Diamond/Pearl
2,13,Platinum
2,14,HeartGold/SoulSilver
2,15,Black/White
2,16,Black 2/White 2
2,17,X/Y
2,18,Omega Ruby/Alpha Sapphire
2,19,Sun/Moon
2,20,Ultra Sun/Ultra Moon
2,21,"Let's Go, Pikachu!/Let's Go, Eevee!"
2,22,Sword/Shield
2,23,Brilliand Diamond/Shining Pearl
2,24,Legends: Arceus
2,25,Scarlet/Violet
2,26,Legends: Z-A
2,27,Champions
3,1,Rouge/Vert (J)
3,2,Bleue (J)
3,3,Rouge/Bleue
3,4,Jaune
3,5,Or/Argent
3,6,Cristal
3,7,Rubis/Saphir
3,8,Colosseum
3,9,Rouge Feu/Vert Feuille
3,10,Émeraude
3,11,XD : Le Souffle des Ténèbres
3,12,Diamant/Perle
3,13,Platine
3,14,Or HeartGold/Argent SoulSilver
3,15,Noire/Blanche
3,16,Noire 2/Blanche 2
3,17,X/Y
3,18,Rubis Oméga/Saphir Alpha
3,19,Soleil/Lune
3,20,Ultra-Soleil/Ultra-Lune
3,21,"Let's Go, Pikachu/Let's Go, Évoli"
3,22,Épée/Bouclier
3,23,Diamant Étincelant/Perle Scintillante
3,24,Légendes Pokémon : Arceus
3,25,Écarlate/Violet
3,26,Légendes Pokémon : Z-A
3,27,Champions
4,1,Rote/Grüne (J)
4,2,Blaue (J)
4,3,Rote/Blaue
4,4,Gelbe
4,5,Goldene/Silberne
4,6,Kristall
4,7,Rubin/Saphir
4,8,Colosseum
4,9,Feuerrote/Blattgrüne
4,10,Smaragd
4,11,XD: Der Dunkle Sturm
4,12,Diamant/Perl
4,13,Platin
4,14,HeartGold/SoulSilver
4,15,Schwarze/Weiße
4,16,Schwarze 2/Weiße 2
4,17,X/Y
4,18,Omega Rubin/Alpha Saphir
4,19,Sonne/Mond
4,20,Ultrasonne/Ultramond
4,21,"Let's Go, Pikachu!/Let's Go, Evoli!"
4,22,Schwert/Schild
4,23,Strahlender Diamant/Leuchtende Perle
4,24,Pokémon-Legenden: Arceus
4,25,Karmesin/Purpur
4,26,Pokémon-Legenden: Z-A
4,27,Champions
5,1,Rossa/Verde (J)
5,2,Blu (J)
5,3,Rossa/Blu
5,4,Gialla
5,5,Oro/Argento
5,6,Cristallo
5,7,Rubino/Zaffiro
5,8,Colosseum
5,9,Rosso Fuoco/Verde Foglia
5,10,Smeraldo
5,11,XD: Tempesta Oscura
5,12,Diamante/Perla
5,13,Platino
5,14,Oro HeartGold/Argento SoulSilver
5,15,Nera/Bianca
5,16,Nera 2/Bianca 2
5,17,X/Y
5,18,Rubino Omega/Zaffiro Alpha
5,19,Sole/Luna
5,20,Ultrasole/Ultraluna
5,21,"Let's Go, Pikachu!/Let's Go, Eevee!"
5,22,Spada/Scudo
5,23,Diamante Lucente/Perla Splendente
5,24,Leggende Pokémon: Arceus
5,25,Scarlatto/Violetto
5,26,Leggende Pokémon: Z-A
5,27,Champions
6,1,Roja/Verde (J)
6,2,Azul (J)
6,3,Roja/Azul
6,4,Amarilla
6,5,Oro/Plata
6,6,Cristal
6,7,Rubí/Zafiro
6,8,Colosseum
6,9,Rojo Fuego/Verde Hoja
6,10,Esmeralda
6,11,XD: Tempestad oscura
6,12,Diamante/Perla
6,13,Platino
6,14,Oro HeartGold/Plata SoulSilver
6,15,Negra/Blanca
6,16,Negra 2/Blanca 2
6,17,X/Y
6,18,Rubí Omega/Zafiro Alfa
6,19,Sol/Luna
6,20,Ultrasol/Ultraluna
6,21,"Let's Go, Pikachu!/Let's Go, Eevee!"
6,22,Espada/Escudo
6,23,Diamante Brillante/Perla Reluciente
6,24,Leyendas Pokémon: Arceus
6,25,Escarlata/Púrpura
6,26,Leyendas Pokémon: Z-A
6,27,Champions
7,1,레드・그린 (J)
7,2,블루 (J)
7,3,레드・블루
7,4,피카츄
7,5,금・은
7,6,크리스탈
7,7,루비・사파이어
7,8,콜로세움
7,9,파이어레드・리프그린
7,10,에메랄드
7,11,XD: Gale of Darkness
7,12,디아루가・펄기아
7,13,기라티나
7,14,하트골드・소울실버
7,15,블랙・화이트
7,16,블랙2・화이트2
7,17,X・Y
7,18,오메가루비・알파사파이어
7,19,썬・문
7,20,울트라썬・울트라문
7,21,레츠고! 피카츄・레츠고! 이브이
7,22,소드・실드
7,23,브릴리언트 다이아몬드・샤이닝 펄
7,24,Pokémon LEGENDS 아르세우스
7,25,스칼렛・바이올렛
7,26,Pokémon LEGENDS Z-A
7,27,챔피언스
8,1,赤・緑
8,2,青
8,3,赤・青 (国際)
8,4,ピカチュウ
8,5,金・銀
8,6,クリスタル
8,7,ルビー・サファイア
8,8,コロシアム
8,9,ファイアレッド・リーフグリーン
8,10,エメラルド
8,11,ＸＤ 闇の旋風ダーク・ルギア
8,12,ダイヤモンド・パール
8,13,プラチナ
8,14,ハートゴールド・ソウルシルバー
8,15,ブラック・ホワイト
8,16,ブラック2・ホワイト2
8,17,X・Y
8,18,オメガルビー・アルファサファイア
8,19,サン・ムーン
8,20,ウルトラサン・ウルトラムーン
8,21,Let's Go! ピカチュウ・Let's Go! イーブイ
