version_group_id,stat_id
1,1
1,2
1,3
1,4
1,5
2,1
2,2
2,3
2,4
2,5
3,1
3,2
3,3
3,4
3,5
4,1
4,2
4,3
4,4
4,5
5,1
5,2
5,3
5,4
5,8
5,9
6,1
6,2
6,3
6,4
6,8
6,9
7,1
7,2
7,3
7,4
7,8
7,9
8,1
8,2
8,3
8,4
8,8
8,9
9,1
9,2
9,3
9,4
9,8
9,9
10,1
10,2
10,3
10,4
10,8
10,9
11,1
11,2
11,3
11,4
11,8
11,9
12,1
12,2
12,3
12,4
12,8
12,9
13,1
13,2
13,3
13,4
13,8
13,9
14,1
14,2
14,3
14,4
14,8
14,9
15,1
15,2
15,3
15,4
15,8
15,9
16,1
16,2
16,3
16,4
16,8
16,9
17,1
17,2
17,3
17,4
17,8
17,9
18,1
18,2
18,3
18,4
18,8
18,9
19,1
19,2
19,3
19,4
19,8
19,9
20,1
20,2
20,3
20,4
20,8
20,9
21,1
21,2
21,3
21,4
21,8
21,9
22,1
22,2
22,3
22,4
22,8
22,9
23,1
23,2
23,3
23,4
23,8
23,9
101,1
101,2
101,3
101,4
101,8
101,9
102,1
102,2
102,3
102,4
102,8
102,9
