language_id,z_power_effect_id,name
1,1,Ｚパワーこうか：　こうげき↑
1,2,Ｚパワーこうか：　こうげき↑↑
1,3,Ｚパワーこうか：　こうげき↑↑↑
1,4,Ｚパワーこうか：　ぼうぎょ↑
1,5,Ｚパワーこうか：　ぼうぎょ↑↑
1,6,Ｚパワーこうか：　ぼうぎょ↑↑↑
1,7,Ｚパワーこうか：　とくこう↑
1,8,Ｚパワーこうか：　とくこう↑↑
1,9,Ｚパワーこうか：　とくこう↑↑↑
1,10,Ｚパワーこうか：　とくぼう↑
1,11,Ｚパワーこうか：　とくぼう↑↑
1,12,Ｚパワーこうか：　とくぼう↑↑↑
1,13,Ｚパワーこうか：　すばやさ↑
1,14,Ｚパワーこうか：　すばやさ↑↑
1,15,Ｚパワーこうか：　すばやさ↑↑↑
1,16,Ｚパワーこうか：　めいちゅうりつ↑
1,17,Ｚパワーこうか：　めいちゅうりつ↑↑
1,18,Ｚパワーこうか：　めいちゅうりつ↑↑↑
1,19,Ｚパワーこうか：　かいひりつ↑
1,20,Ｚパワーこうか：　かいひりつ↑↑
1,21,Ｚパワーこうか：　かいひりつ↑↑↑
1,22,Ｚパワーこうか：　のうりょく↑
1,23,Ｚパワーこうか：　のうりょく↑↑
1,24,Ｚパワーこうか：　のうりょく↑↑↑
1,25,Ｚパワーこうか：　きゅうしょアップ
1,26,Ｚパワーこうか：　のうりょく　リセット
1,27,Ｚパワーこうか：　じぶん　かいふく
1,28,Ｚパワーこうか：　いれかえさきかいふく
1,29,Ｚパワーこうか：　ちゅうもくのまと
1,30,Ｚパワーこうか：　タイプで　かわる
2,1,Z-Power Effect: Attack ↑
2,2,Z-Power Effect: Attack ↑↑
2,3,Z-Power Effect: Attack ↑↑↑
2,4,Z-Power Effect: Defense ↑
2,5,Z-Power Effect: Defense ↑↑
2,6,Z-Power Effect: Defense ↑↑↑
2,7,Z-Power Effect: Special Attack ↑
2,8,Z-Power Effect: Special Attack ↑↑
2,9,Z-Power Effect: Special Attack ↑↑↑
2,10,Z-Power Effect: Special Defense ↑
2,11,Z-Power Effect: Special Defense ↑↑
2,12,Z-Power Effect: Special Defense ↑↑↑
2,13,Z-Power Effect: Speed ↑
2,14,Z-Power Effect: Speed ↑↑
