id,identifier
1,attack-1
2,attack-2
3,attack-3
4,defense-1
5,defense-2
6,defense-3
7,special-attack-1
8,special-attack-2
9,special-attack-3
10,special-defense-1
11,special-defense-2
12,special-defense-3
13,speed-1
14,speed-2
15,speed-3
16,accuracy-1
17,accuracy-2
18,accuracy-3
19,evasiveness-1
20,evasiveness-2
21,evasiveness-3
22,stats-1
23,stats-2
24,stats-3
25,boosts-critical-hit-ratio
26,reset-stats
27,restores-hp
28,restores-replacement-s-hp
29,center-of-attention
30,changes-depending-on-the-type
101,no-additional-effect
